annee,delegation,peche_cotiere,peche_chalut_de_fond_et_flottant,peche_lumiere,peche_thon,peche_aquaculture,peche_huitres,total,feuille
2024,قابس المدينة,4994,,4951,117.0,3.0,,10065,Feuil1
2024,غنوش,575,,,,,,1447,Feuil1
2024,المطوية (العكاريت),222,,,,,,222,Feuil1
2024,مارث (الزرات),1905,,1021,,,0,2926,Feuil1
2024,المجموع,7696,0.0,5972,117.0,3.0,0,13788,Feuil1
