annee,nature_du_delit_forestier_ar,nombre_total,nombre_de_transactions,nombre_de_proces_verbaux,feuille
2016,الرّعى المحجّر,13,3,10,Feuil4
2016,الصّيد المحضور,8,2,6,Feuil4
2016,قطع أشجار بدون رخصة,14,7,7,Feuil4
2016,الإستيلاء على عقار خاضع لنظام الغابات بدون رخصة,16,1,15,Feuil4
2016,نقل منتوج غابي بدون رخصة,3,3,0,Feuil4
2016,إستخراج ورفع منتوج غابي بدون رخصة,8,3,5,Feuil4
2016,تكسير أرض بدون رخصة,4,0,4,Feuil4
2016,صنع الفحم بدون رخصة,1,1,1,Feuil4
2016,تجاوز حدود المقطع,1,1,0,Feuil4
2017,الرّعى المحجّر,5,3,2,Feuil4
2017,الصّيد المحضور,15,6,9,Feuil4
2017,قطع أشجار بدون رخصة,14,7,6,Feuil4
2017,الإستيلاء على عقار خاضع لنظام الغابات بدون رخصة,30,0,30,Feuil4
2017,نقل منتوج غابي بدون رخصة,3,2,1,Feuil4
2017,إستخراج ورفع منتوج غابي بدون رخصة,3,1,2,Feuil4
2017,تكسير أرض بدون رخصة,2,0,2,Feuil4
2017,صنع الفحم بدون رخصة,1,1,1,Feuil4
2018,الرّعى المحجّر,15,2,13,Feuil4
2018,الصّيد المحضور,15,2,13,Feuil4
2018,قطع أشجار بدون رخصة,10,5,5,Feuil4
2018,الإستيلاء على عقار خاضع لنظام الغابات بدون رخصة.,19,0,19,Feuil4
2018,نقل منتوج غابي بدون رخصة,1,0,1,Feuil4
2018,إستخراج ورفع منتوج غابي بدون رخصة,1,0,1,Feuil4
2018,تكسير أرض بدون رخصة,1,0,1,Feuil4
2018,صنع الفحم بدون رخصة,1,1,0,Feuil4
2018,إلقاء الفضلات بالغابة تابعة لملك الدولة الخاص خاضعة لنظام الغابات,1,0,1,Feuil4
2018,إضرام النار بالغابات الدولية,1,0,1,Feuil4
2019,الرّعى المحجّر,8,2,6,Feuil4
2019,الصّيد المحضور,44,15,29,Feuil4
2019,قطع أشجار بدون رخصة,12,7,5,Feuil4
2019,الإستيلاء على عقار خاضع لنظام الغابات بدون رخصة,28,0,28,Feuil4
2019,نقل منتوج غابي بدون رخصة,11,6,5,Feuil4
2019,إستخراج ورفع منتوج غابي بدون رخصة,21,10,11,Feuil4
2019,تكسير أرض بدون رخصة,18,0,18,Feuil4
2019,صنع الفحم بدون رخصة,1,1,0,Feuil4
2020,الرّعى المحجّر,6,0,6,Feuil4
2020,الصّيد المحضور,73,9,64,Feuil4
2020,قطع أشجار بدون رخصة,8,3,5,Feuil4
2020,الإستيلاء على عقار خاضع لنظام الغابات بدون رخصة,28,0,28,Feuil4
2020,نقل منتوج غابي بدون رخصة,10,4,6,Feuil4
2020,إستخراج ورفع منتوج غابي بدون رخصة,12,1,11,Feuil4
2020,تكسير أرض بدون رخصة,22,1,21,Feuil4
2020,صنع الفحم بدون رخصة,1,0,1,Feuil4
