annee,ann_2001,ann_2002,ann_2003,ann_2004,ann_2005,ann_2006,ann_2007,ann_2008,ann_2009,ann_2010,ann_2011,ann_2012,ann_2013,ann_2014,ann_2015,ann_2016,ann_2017,ann_2018,ann_2019,feuille
janvier,162.8466029167944,154.04259158392588,167.9,197.41,170.6841823615381,161.85,283.17170160357654,380.95462427831615,225.35221654621398,284.3372749837391,416.70094572726697,392.754,492.194,358.035,385.419,357.282,423.81941899827257,463.1,549.8,dinar T
fevrier,163.89749360298472,157.16548135732273,165.07,224.71,155.97804201901496,167.44,280.775,399.5759361735462,258.72904511948656,299.05934322224016,,389.24,487.778,371.586,404.817,327.092,422.3666019714156,465.0,598.8,dinar T
mars,165.05843435018707,157.22232045190336,162.42,229.5,166.1261184752982,168.82,282.6600567417699,366.72896669762866,247.54352445244794,295.8065080685709,459.9868599291069,428.409,489.601,382.78,363.888,350.41,414.09258899568493,475.0,592.0,dinar T
avril,159.02899515360815,150.95162857301813,163.87,232.31,172.97475680057354,,281.4742001227487,373.95616128158906,255.9240205534798,290.41554459473195,455.6871952173478,431.99,483.62,417.04,349.34,344.79,435.35648921300293,509.0,561.4,dinar T
mai,162.8544544458796,149.80250897722038,165.61,224.86,178.7298886948714,179.48,283.77725676274673,370.72390911755394,266.6912230335336,299.9678010212064,470.82609076987916,454.184,463.194,429.814,348.736,343.794,445.9153979779186,518.6,555.0,dinar T
juin,160.89973600000002,150.969473195127,172.51,226.09,173.4583232867264,179.435,280.3733364802434,391.85357529685365,277.7404883480954,323.7204212958065,469.4456443804506,462.306,461.277,416.476,356.471,398.226,457.2112639467752,544.56,579.5,dinar T
juillet,158.06395921609595,157.34557139860843,174.21,224.28,184.81582361953153,185.714,271.986,390.6348230636136,295.92206168040855,304.30483889513084,465.499324503689,446.437,468.073,426.459,347.61,455.1,458.35569999999996,535.1,560.5,dinar T
aout,156.4252578075974,166.76677152074538,167.43,210.73,176.5471621631372,190.885,269.61096697317174,384.48000799875575,261.88443783964976,316.3843285115859,460.6214,542.439,442.621,380.641,408.846,417.268,420.357350420731,545.6,544.5,dinar T
septembre,162.4759593907861,176.69690319035615,,190.03,181.58173086144876,197.08,282.223,386.11362743063296,246.19452417068487,354.3618769333302,481.3379999687971,534.705,412.399,375.314,390.175,413.29,431.6567714350332,539.4,534.1,dinar T
octobre,156.54594400561584,187.04869963131554,171.41,179.22,171.5056783878416,211.25,330.26154577046503,373.9711071966326,239.34239031354844,340.67848838550043,440.36223481432984,484.755,364.212,362.532,363.492,425.791,429.9346932464455,531.3,510.0,dinar T
novembre,153.07096621344064,178.64874540049215,170.22,174.11,161.2354757178701,244.48,339.925,291.7852173732323,254.39046158047933,383.2187043461371,434.3675258792454,481.433,330.893,361.831,366.757,398.79,436.5065861992389,523.2,505.7,dinar T
decembre,157.0107029283763,180.7578452061457,182.36,167.71,166.68700403292104,265.75,338.67971184774126,243.45121324882138,259.94489353169973,408.6436620455536,400.373,487.531,353.171,362.943,363.094,412.29,433.7112918488587,539.5,508.7,dinar T
