olives,conduite_culturale,supeficie_cultivee_hectares,estimation_production_tonnes,feuille
زيتون زيت,en sec,1568.64,555.5,Feuil1
زيتون مائدة,en sec,110.0,46.6,Feuil1
زيتون زيت,en irrigué,83.81,57.0,Feuil1
زيتون مائدة,en irrigué,9.6,20.0,Feuil1
