olives,conduite_culturale,supeficie_cultivee_hectares,estimation_production_tonnes,feuille
زيتون زيت,en sec,1569,2601,Feuil1
زيتون مائدة,en sec,110,143,Feuil1
زيتون زيت,en irrigué,84,227,Feuil1
زيتون مائدة,en irrigué,10,66,Feuil1
