olives,conduite_culturale,supeficie_cultivee_hectares,estimation_production_tonnes,feuille
زيتون زيت,en sec,1564,3166,Feuil1
زيتون مائدة,en sec,110,137,Feuil1
زيتون زيت,en irrigué,88,327,Feuil1
زيتون مائدة,en irrigué,10,66,Feuil1
