olives,conduite_culturale,supeficie_cultivee_hectares,estimation_production_tonnes,feuille
زيتون زيت,en sec,1568.0,2188,Feuil1
زيتون مائدة,en sec,110.0,112,Feuil1
زيتون زيت,en irrigué,83.81,278,Feuil1
زيتون مائدة,en irrigué,9.6,56,Feuil1
