annee,delegation,superficie_tomate_ha,production_tomate_tonne,superficie_piment_ha,production_piment_tonne,superficie_pasteque_ha,production_pasteque_tonne,superficie_melon_ha,production_melon_tonne,superficie_concombre_ha,production_concombre_tonne,superficie_courge_ha,production_courge_tonne,superficie_basilic_ha,production_basilic_tonne,total_superficie_ha,total_production_tonne,feuille
2020,القيروان الشمالية,4.0,560.0,0.0,0.0,0.0,0.0,15.0,600,0.0,0,0.0,0,0.0,0.0,19.0,1160.0,Cultures maraichères protégées
2020,القيروان الجنوبية,30.0,1500.0,0.0,0.0,20.0,800.0,25.0,750,0.0,0,0.0,0,0.0,0.0,75.0,3050.0,Cultures maraichères protégées
2020,الشبيكة,10.3,542.0,0.4,20.0,10.0,400.0,10.0,300,0.0,0,0.0,0,0.0,0.0,30.700000000000003,1262.0,Cultures maraichères protégées
2020,السبيخة,90.0,10800.0,7.3,365.0,10.0,400.0,5.0,150,5.0,75,5.0,150,0.0,0.0,122.3,11940.0,Cultures maraichères protégées
2020,حفوز,0.0,0.0,0.0,0.0,150.0,6000.0,35.0,1050,0.0,0,0.0,0,0.0,0.0,185.0,7050.0,Cultures maraichères protégées
2020,حاجب العيون,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,Cultures maraichères protégées
2020,بوحجلة,0.0,0.0,0.0,0.0,10.0,350.0,0.0,0,0.0,0,0.0,0,0.0,0.0,10.0,350.0,Cultures maraichères protégées
2020,نصرالله,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,Cultures maraichères protégées
2020,الشراردة,0.0,0.0,0.0,0.0,570.0,22800.0,195.0,5850,0.0,0,0.0,0,0.0,0.0,765.0,28650.0,Cultures maraichères protégées
2020,الوسلاتية,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,Cultures maraichères protégées
2020,العلا,0.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,Cultures maraichères protégées
2020,المجموع,134.3,13402.0,7.7,385.0,770.0,30750.0,285.0,8700,5.0,75,5.0,150,0.0,0.0,1207.0,53462.0,Cultures maraichères protégées
