annee,delegation,superficie_cereales_ha,production_cereales_quintal,superficie_maraichages_cucurbitacees_ha,superficie_autres_maraichages_ha,production_maraichage_cucurbitacees_tonne,production_autres_maraichage_tonne,feuille
2023,Médenine Nord,,,,,,,Feuil1
2023,Médenine Sud,,,,,,,Feuil1
2023,Sidi Makhlouf,,,,,,,Feuil1
2023,Ajim,,,,,,,Feuil1
2023,Houmet Essouk,,,,,,,Feuil1
2023,Midoun,,,,,,,Feuil1
2023,Zarzis,,,80.0,40.0,1800.0,800.0,Feuil1
2023,Ben Guerdane,,,20.0,10.0,450.0,200.0,Feuil1
2023,Beni Khedech,,,,,,,Feuil1
2023,Total,,,100.0,50.0,2250.0,1000.0,Feuil1
2024,Médenine Nord,1200.0,1800.0,,,,,Feuil1
2024,Médenine Sud,3500.0,7000.0,,,,,Feuil1
2024,Sidi Makhlouf,1400.0,1400.0,,,,,Feuil1
2024,Ajim,30.0,30.0,,,,,Feuil1
2024,Houmet Essouk,20.0,20.0,,,,,Feuil1
2024,Midoun,50.0,50.0,,,,,Feuil1
2024,Zarzis,1100.0,2200.0,150.0,100.0,3500.0,700.0,Feuil1
2024,Ben Guerdane,2000.0,4000.0,80.0,25.0,200.0,170.0,Feuil1
2024,Beni Khedech,700.0,700.0,,,,,Feuil1
2024,Total,10000.0,17200.0,230.0,125.0,3700.0,870.0,Feuil1
