الولاية_gouvernorat,اعلاف_fourrage,بقوليات_legumineuse,cult_industrielles_زراعات_صناعية,feuille
تونس,60,,,Feuil1
أريانة,1400,70.0,170.0,Feuil1
منوبة,300,,60.0,Feuil1
بن عروس,20,,,Feuil1
نابل,2180,540.0,3260.0,Feuil1
بنزرت,1880,420.0,640.0,Feuil1
باجة,1320,10.0,260.0,Feuil1
جندوبة,5150,2380.0,1490.0,Feuil1
الكاف,2750,,,Feuil1
سليانة,330,,,Feuil1
زغوان,160,510.0,,Feuil1
سوسة,1550,,,Feuil1
المنستير,230,,,Feuil1
المهدية,1170,,,Feuil1
صفاقس,410,,,Feuil1
القيروان,5650,,,Feuil1
القصرين,1890,,,Feuil1
سيدي بوزيد,6570,,340.0,Feuil1
قفصة,1280,,70.0,Feuil1
قابس,5770,60.0,270.0,Feuil1
مدنين,310,,,Feuil1
توزر,260,,,Feuil1
قبلي,7450,,,Feuil1
تطاوين,120,,,Feuil1
