annee,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,10_plan,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,feuille
Tunis,51.7,27.3,100.1,38.4,110.0,14.2,4.0,17.4,,3.1,17.4,17.0,18.0,13.0,4.0,0.45,18.2,5.6,11.4,6.51,3.19,3.5,,10.31,9.4,4.8,9.12,33.63,12.0,10.62,9.4,2.78,11.13,13.86,10.88,14.4,10.05,10.23,0.0,13.4,11.99,16.8,Feuil1
Ariana,,,,,,235.6,29.2,123.3,5.4,63.0,111.6,141.0,179.0,72.0,19.0,21.3,212.8,64.2,111.19,186.03,59.65,44.2,8.74,82.5,39.79,33.07,38.43,202.53,41.69,61.64,79.88,57.82,54.26,34.68,62.28,48.6,46.5,30.86,0.0,46.0,48.6,35.31,Feuil1
Manouba,,,,,,,,,,,,,,,,,,,,,,112.5,9.76,181.16,87.34,111.53,116.5,506.28999999999996,111.3,162.05,257.13,128.4,156.73,240.2,171.0,164.91,135.06,114.51,0.0,174.7,191.55,169.94,Feuil1
Ben Arous,,,,,,24.2,4.2,60.0,,5.4,27.8,85.0,17.0,70.0,15.0,4.8,31.4,17.95,36.75,36.61,22.82,45.1,2.12,85.19,37.06,36.2,29.82,190.39,29.64,28.87,54.97,28.11,82.9,66.15,43.4,42.04,22.67,22.96,0.0,22.14,56.39,50.61,Feuil1
Nabeul,214.1,141.0,310.1,158.2,205.3,273.0,169.0,412.8,27.0,211.2,246.4,354.0,332.0,210.0,186.0,146.0,273.0,244.06,246.8,314.14,340.0,296.0,137.0,456.78,438.5,470.0,390.46,1892.74,337.06,412.62,537.95,346.0,447.1,497.0,434.55,483.7,484.85,256.56,0.0,367.31,531.24,421.695,Feuil1
Bizerte,187.0,118.2,215.7,150.0,188.2,130.0,194.5,125.0,25.0,88.0,96.0,78.0,103.0,131.0,54.0,63.5,126.3,100.57,65.5,156.6,201.57,174.9,73.85,238.57,156.64,131.61,136.12,736.79,132.11,142.29,227.16,149.12,137.01,117.87,129.17,141.79,125.32,181.6,0.0,129.03,236.2,173.1,Feuil1
Béja,194.3,166.6,308.8,203.7,310.8,395.0,141.0,328.5,63.8,118.0,275.0,441.0,347.0,300.0,67.0,63.4,239.4,200.67,196.86,216.12,98.45,225.0,38.24,390.15,342.5,301.99,206.18,1279.0600000000002,369.07,287.37,425.5,207.01,330.72,296.67,257.25,329.42,245.5,236.39,269.0,293.56,500.0,320.0,Feuil1
Jendouba,195.8,198.4,280.0,187.0,266.0,225.0,117.6,277.5,55.0,72.8,58.2,327.0,208.0,172.0,94.0,131.45,173.7,135.67,167.04,167.7,135.0,199.4,107.4,258.96,185.69,201.67,175.38,929.0999999999999,197.09,180.86,355.71,154.55,297.88,232.0,236.76,315.29,229.42,235.25,246.0,242.67,351.832,170.6315,Feuil1
Kef,497.6,470.7,630.0,540.3,602.0,991.9,249.6,1216.0,7.0,180.0,500.0,1439.0,1160.0,935.0,141.0,28.7,900.1,290.93,742.6,711.82,280.85,388.3,83.61,2445.34,959.8,817.5,428.26,4734.51,1255.48,181.94,1948.49,262.5,1470.4,1563.6,562.41,1896.87,1024.55,1106.455,476.0,580.78,2829.515,1400.425,Feuil1
Siliana,281.9,325.1,417.1,214.9,310.8,502.9,145.2,704.6,147.0,100.5,487.3,694.0,993.0,590.0,40.0,23.0,724.4,264.65,521.23,432.1,164.27,370.0,56.87,1128.3,603.24,421.56,359.5,2569.47,640.41,175.0,934.2,196.65,803.4,928.0,374.3,1025.5,315.93,397.89,513.0,362.39,1295.95,417.619,Feuil1
Zaghouan,522.6,414.2,512.5,334.9,297.5,424.8,87.5,440.0,1.3,25.7,249.8,481.0,382.0,198.0,34.0,4.2,411.0,71.14,126.27,360.43,144.27,163.0,17.26,525.27,452.7,402.46,237.55,1635.24,313.57,184.19,465.64,120.25,389.08,471.26,145.94,455.09,138.57,60.405,404.0,66.54,700.838,365.772,Feuil1
Sousse,12.0,32.0,18.9,82.4,12.2,374.0,11.0,148.8,1.2,86.9,131.1,188.0,256.0,191.0,35.0,0.4,305.3,7.01,36.1,80.0,86.25,1.382,0.36,141.29,224.1,277.9,54.9,698.55,253.23,73.05,233.38,12.84,137.1,247.99,3.98,186.77,18.52,2.9,224.0,30.67,172.71,83.28,Feuil1
Monastir,3.5,22.5,18.5,38.7,21.1,91.5,7.8,23.7,,43.5,38.3,54.0,53.0,41.0,15.0,7.2,63.7,,12.1,9.23,14.58,,2.08,9.86,20.7,27.05,35.53,95.22,36.16,15.34,28.6,9.46,13.26,26.74,,18.86,7.05,,13.3,0.0,23.517,11.174,Feuil1
Mahdia,15.3,90.5,52.0,179.8,68.8,402.3,45.3,154.2,3.7,282.0,408.5,413.0,229.0,254.0,209.0,16.05,550.5,19.3,96.5,35.4,157.4,0.57,30.05,234.25,270.0,262.1,109.6,906.0,210.16,127.1,321.88,26.51,154.41,356.1,,484.29,76.73,1.54,310.0,6.75,160.9,86.0,Feuil1
Sfax,28.1,92.8,40.0,177.6,109.9,297.0,10.7,93.8,3.1,110.4,176.2,170.0,89.0,101.0,90.0,3.0,539.2,,22.05,68.85,53.0,1.3,8.26,97.27,50.19,22.8,108.96,287.48,86.63,11.25,53.55,3.97,60.47,29.2,1.42,33.01,2.27,,15.6,1.507,11.05,7.5,Feuil1
