unnamed_1,unnamed_2,unnamed_3,unnamed_4,unnamed_5,unnamed_6,unnamed_7,unnamed_8,unnamed_9,unnamed_10,feuille,توزيع_الموارد_المايية_حسب_المايدة_المتوسطة,unnamed_11,unnamed_12,unnamed_13,unnamed_17,unnamed_18,unnamed_19,unnamed_20,المعتمديــة,اسم_المايدة,عدد_الابار_المجهزة_2017,عدد_الابار_المجهزة_2018,عدد_الابار_المجهزة_2019,عدد_الابار_المجهزة_2020,عدد_الابار_الغير_مجهزة_2017,عدد_الابار_الغير_مجهزة_2018,عدد_الابار_الغير_مجهزة_2019,عدد_الابار_الغير_مجهزة_2020,المجموع_2017,المجموع_2018,المجموع_2019,المجموع_2020,الموارد_2017م_م3,الموارد_2018م_م3,الموارد_2019م_م3,الموارد_2020م_م3,الاستغلال_2017_م_م_3,الاستغلال_2018_م_م_3,الاستغلال_2019_م_م_3,الاستغلال_2020_م_م_3
توزيع البحيرات الجبلية حسب المعتمدية,,,,,,,,,,البحيرات 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,البحيرات 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Année:2020,,البحيرات 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
المعتمديـــة,عدد البحيرات,,,طاقة الخزن (ألف م3),,,الكمية المعبئة (ألف م3),,,البحيرات 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,0.0,0.0,1,1.0,1.0,1.0,1,1.0,الموائد المتوسطة,طينة,1.0,1.0,,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,
62,72.0,80.0,89.0,9,10.0,10.0,13.0,71,82.0,الموائد المتوسطة,بئر علي,90.0,102.0,,0.889616,0.94724,1.0151,1.249579,,,,,,,,,,,,,,,,,,,,,,
205,262.0,313.0,369.0,53,76.0,117.0,115.0,258,338.0,الموائد المتوسطة,المجموع,430.0,484.0,11.3,5.744290000000001,6.5441400000000005,7.1152999999999995,7.603916000000001,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,الموائد المتوسطة,المصدر: المندوبية الجهوية للتنمية الفلاحية بصفاقس,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,الموارد السطحية,,,,,,,,,الحنشة,الحنشة,1486.0,1507.0,1507.0,1519.0,103.0,84.0,84.0,72.0,1589.0,1591.0,1591.0,1591.0,2.8,2.8,2.8,2.8,6.13,6.21,6.21,6.26
,,,,,,,,,,الموارد السطحية,,,,,,,,,جبنيانة,جبنيانة,2184.0,2184.0,2193.0,2195.0,551.0,551.0,551.0,550.0,2735.0,2735.0,2744.0,2745.0,3.35,3.35,3.35,3.35,9.3,9.3,9.3,9.31
,,,,,,,,,,الموارد السطحية,,,,,,,,,العامرة,العامرة,611.0,613.0,615.0,615.0,298.0,297.0,297.0,297.0,909.0,910.0,912.0,912.0,1.23,1.23,1.23,1.23,3.07,3.08,3.09,3.09
,,,,,,,,,,الموارد السطحية,,,,,,,,,ساقية الزيت,سيدي صالح,269.0,271.0,277.0,280.0,267.0,267.0,266.0,266.0,536.0,538.0,543.0,546.0,1.85,1.85,1.85,1.85,1.77,1.78,1.81,1.83
,,,,,,,,,,الموارد السطحية,,,,,,,,,عقارب,صفاقس - عقارب,1261.0,1262.0,1264.0,1269.0,452.0,452.0,456.0,455.0,1713.0,1714.0,1720.0,1724.0,6.13,6.13,6.13,6.13,8.88,8.88,8.89,8.92
,,,,,,,,,,الموارد السطحية,,,,,,,,,المحرس,المحرس,368.0,378.0,390.0,400.0,61.0,51.0,39.0,30.0,429.0,429.0,429.0,430.0,3.08,3.08,3.08,3.08,1.57,1.61,1.66,1.7
,,,,,,,,,,الموارد السطحية,,,,,,,,,قرقنة,قرقنة,10.0,10.0,10.0,10.0,70.0,70.0,70.0,70.0,80.0,80.0,80.0,80.0,0.2,0.2,0.2,0.2,0.12,0.12,0.12,0.12
,,,,,,,,,,الموارد السطحية,,,,,,,,,المحرس,الشفار,930.0,943.0,952.0,965.0,520.0,507.0,505.0,502.0,1450.0,1450.0,1457.0,1467.0,2.9,2.9,2.9,2.9,6.02,6.1,6.15,6.23
,,,,,,,,,,الموارد السطحية,,,,,,,,,الصخيرة,الصخيرة,1705.0,1732.0,1733.0,1741.0,285.0,267.0,283.0,290.0,1990.0,1999.0,2016.0,2031.0,4.26,4.26,4.26,4.26,9.29,9.43,9.44,9.48
,,,,,,,,,,الموارد السطحية,,,,,,,,,منزل شاكر,مدلية,345.0,351.0,360.0,369.0,121.0,115.0,109.0,101.0,466.0,466.0,469.0,470.0,1.94,1.94,1.94,1.94,2.35,2.39,2.45,2.51
,,,,,,,,,,الموارد السطحية,,,,,,,,,منزل شاكر,بوثدي,81.0,91.0,96.0,98.0,34.0,30.0,28.0,26.0,115.0,121.0,124.0,124.0,1.5,1.5,1.5,1.5,0.62,0.69,0.72,0.74
,,,,,,,,,,الموارد السطحية,,,,,,,,,منزل شاكر,بوجمل,113.0,113.0,113.0,114.0,57.0,57.0,57.0,56.0,170.0,170.0,170.0,170.0,1.24,1.24,1.24,1.24,0.56,0.56,0.56,0.56
,,,,,,,,,,الموارد السطحية,,,,,,,,,منزل شاكر,بشكة الحاج قاسم,68.0,68.0,68.0,70.0,29.0,29.0,29.0,27.0,97.0,97.0,97.0,97.0,1.2,1.2,1.2,1.2,0.44,0.44,0.44,0.45
,,,,,,,,,,الموارد السطحية,,,,,,,,,بئر علي,مشيقيق,31.0,31.0,31.0,31.0,25.0,25.0,25.0,25.0,56.0,56.0,56.0,56.0,0.7,0.7,0.7,0.7,0.14,0.14,0.14,0.14
,,,,,,,,,,الموارد السطحية,,,,,,,,,بئر علي,ودران,1169.0,1203.0,1205.0,1221.0,524.0,490.0,490.0,483.0,1693.0,1698.0,1695.0,1704.0,6.9,6.9,6.9,6.9,6.16,6.33,6.34,6.42
