annee,delegation,superficie_irrigable_ha,superficie_irrigues_ha,superficie_exploitee_ha,feuille
2014,Manouba,395.0,239.45365853658535,368.7709936527552,Feuil2
2014,Douar Hicher,0.0,0.0,0.0,Feuil2
2014,Oued Ellil,1715.0,1091.7463414634146,1634.1616581475032,Feuil2
2014,Mornagia,1100.0,576.3121951219513,1023.6752232769758,Feuil2
2014,Borj El Amri,2770.0,1304.819512195122,2573.133179801157,Feuil2
2014,Jedaida,7260.0,3593.834146341463,6845.5052519238325,Feuil2
2014,Tebourba,2630.0,1464.1170731707316,2496.693253945964,Feuil2
2014,El Batane,3660.0,2129.7170731707315,3448.0604392518117,Feuil2
2015,Manouba,395.0,247.51219512195127,356.73931359883164,Feuil2
2015,Douar Hicher,0.0,0.0,0.0,Feuil2
2015,Oued Ellil,1715.0,1128.487804878049,1580.8448014379599,Feuil2
2015,Mornagia,1100.0,595.7073170731709,990.276357917205,Feuil2
2015,Borj El Amri,2770.0,1348.7317073170734,2489.181036903892,Feuil2
2015,Jedaida,7260.0,3714.7804878048782,6622.160871763185,Feuil2
2015,Tebourba,2630.0,1513.3902439024391,2415.235072740549,Feuil2
2015,El Batane,3660.0,2201.390243902439,3335.562545638376,Feuil2
2016,Manouba,395.0,244.05853658536586,347.71555355838905,Feuil2
2016,Douar Hicher,0.0,0.0,0.0,Feuil2
2016,Oued Ellil,1715.0,1112.7414634146342,1540.8571589058024,Feuil2
2016,Mornagia,1100.0,587.3951219512196,965.2272088973768,Feuil2
2016,Borj El Amri,2770.0,1329.9121951219513,2426.216929730944,Feuil2
2016,Jedaida,7260.0,3662.9463414634142,6454.6525866427,Feuil2
2016,Tebourba,2630.0,1492.273170731707,2354.141436836488,Feuil2
2016,El Batane,3660.0,2170.673170731707,3251.1891254282987,Feuil2
2017,Manouba,395.0,160.0,358.9451216087176,Feuil2
2017,Douar Hicher,,,,Feuil2
2017,Oued Ellil,1715.0,737.978536585366,1590.619558501376,Feuil2
2017,Mornagia,1100.0,389.5648780487806,996.399483233163,Feuil2
2017,Borj El Amri,2770.0,882.007804878049,2504.5722631017243,Feuil2
2017,Jedaida,7260.0,2430.0,6663.107341459305,Feuil2
2017,Tebourba,2630.0,989.6868292682927,2430.1690726282086,Feuil2
2017,El Batane,3660.0,1439.6068292682928,3356.187159467506,Feuil2
2018,Manouba,395.0,145.0,357.475,Feuil2
2018,Douar Hicher,,,,Feuil2
2018,Oued Ellil,1715.0,665.0,1552.075,Feuil2
2018,Mornagia,1100.0,350.0,995.5,Feuil2
2018,Borj El Amri,2770.0,795.438048780488,2506.85,Feuil2
2018,Jedaida,7260.0,2190.0,6570.3,Feuil2
2018,Tebourba,2630.0,895.0,2380.15,Feuil2
2018,El Batane,3660.0,1300.0,3312.3,Feuil2
2019,Manouba,395.0,171.37980085348505,362.95568162669207,Feuil2
2019,Douar Hicher,,,,Feuil2
2019,Oued Ellil,1715.0,790.4663414634148,1608.3918440712239,Feuil2
2019,Mornagia,1100.0,417.27219512195137,1007.5324383530866,Feuil2
2019,Borj El Amri,2770.0,944.7395121951222,2532.556310734146,Feuil2
2019,Jedaida,7260.0,2602.8307254623046,6737.55546817952,Feuil2
2019,Tebourba,2630.0,1060.0770731707319,2457.32179969668,Feuil2
2019,El Batane,3660.0,1541.997073170732,3393.686457338651,Feuil2
2020,Manouba,395.0,200.0,370.0,Feuil2
2020,Douar Hicher,,0.0,,Feuil2
2020,Oued Ellil,1715.0,925.0,1610.0,Feuil2
2020,Mornagia,1100.0,490.0,1020.0,Feuil2
2020,Borj El Amri,2770.0,1105.0,2550.0,Feuil2
2020,Jedaida,7260.0,3045.0,6750.0,Feuil2
2020,Tebourba,2630.0,1240.0,2460.0,Feuil2
2020,El Batane,3660.0,1805.0,3400.0,Feuil2
2021,Manouba,395.0,175.8683314415437,362.61,Feuil2
2021,Douar Hicher,0.0,0.0,,Feuil2
2021,Oued Ellil,1715.0,813.3910329171396,1574.3700000000001,Feuil2
2021,Mornagia,1100.0,430.87741203178206,1009.8000000000001,Feuil2
2021,Borj El Amri,2770.0,971.6725312145289,2542.86,Feuil2
2021,Jedaida,7260.0,2677.5953461975027,6664.68,Feuil2
2021,Tebourba,2630.0,1090.383654937571,2414.34,Feuil2
2021,El Batane,3660.0,1587.211691259932,3359.88,Feuil2
2022,Manouba,395.0,140.0,350.0,Feuil2
2022,Douar Hicher,0.0,0.0,0.0,Feuil2
2022,Oued Ellil,1715.0,600.0,1515.0,Feuil2
2022,Mornagia,1100.0,385.0,975.0,Feuil2
2022,Borj El Amri,2770.0,970.0,2450.0,Feuil2
2022,Jedaida,7260.0,2550.0,6430.0,Feuil2
2022,Tebourba,2630.0,920.0,2325.0,Feuil2
2022,El Batane,3660.0,1285.0,3240.0,Feuil2
2023,Manouba,395.0,153.28467153284672,363.40000000000003,Feuil2
2023,Douar Hicher,0.0,0.0,,Feuil2
2023,Oued Ellil,1715.0,656.9343065693431,1577.8000000000002,Feuil2
2023,Mornagia,1100.0,421.53284671532845,1012.0,Feuil2
2023,Borj El Amri,2770.0,1062.043795620438,2548.4,Feuil2
2023,Jedaida,7260.0,2791.970802919708,6679.200000000001,Feuil2
2023,Tebourba,2630.0,1007.2992700729927,2419.6,Feuil2
2023,El Batane,3660.0,1406.934306569343,3367.2000000000003,Feuil2
2024,MANOUBA,395.0,130.0,354.96094879953716,Feuil2
2024,DOUAR HICHER,,0.0,0.0,Feuil2
2024,OUED ELLIL,1715.0,565.0,1536.4738212322823,Feuil2
2024,MORNAGUIA,1100.0,360.0,988.8197859415678,Feuil2
2024,BORJ EL AMRI,2770.0,917.0,2484.72664159676,Feuil2
2024,DJEDAIDA,7260.0,2400.0,6521.139716517211,Feuil2
2024,TEBOURBA,2630.0,865.0,2357.954874168354,Feuil2
2024,EL BATTANE,3660.0,1210.0,3285.924211744287,Feuil2
