gouvernorat,annee_2020,annee_2019,annee_2018,annee_2017,annee_2016,feuille
KEBILLI,38000,38000,38000,36000,23857,sup palmier dtt HA
TOZEUR,9574,9444,9444,8440,8341,sup palmier dtt HA
GAFSA,2950,2895,2800,2650,2046,sup palmier dtt HA
GABES,6660,6800,6800,6800,6660,sup palmier dtt HA
