annee,delegation,production_des_cereales_en_tonnes,production_des_fourrages_en_tonnes,production_des_legumineuses_en_tonnes,production_des_cultures_maraicheres_en_tonnes,feuille
2016,MANOUBA,200.0,2500.0,30.0,2200.0,Feuil2
2016,DOUAR HICHER,100.0,500.0,0.0,1900.0,Feuil2
2016,OUED ELLIL,800.0,5800.0,30.0,3800.0,Feuil2
2016,MORNAGUIA,7000.0,11300.0,70.0,4800.0,Feuil2
2016,BORJ EL AMRI,8000.0,13100.0,200.0,10500.0,Feuil2
2016,DJEDAIDA,11800.0,30900.0,200.0,27000.0,Feuil2
2016,TEBOURBA,15500.0,19200.0,800.0,5800.0,Feuil2
2016,EL BATTANE,4000.0,9880.0,50.0,34750.0,Feuil2
2017,MANOUBA,284.19409282700417,2686.7353509336767,41.52173913043478,1234.6666666666667,Feuil2
2017,DOUAR HICHER,142.09704641350208,537.3470701867354,0.0,1066.3030303030303,Feuil2
2017,OUED ELLIL,1136.7763713080167,6233.22601416613,41.52173913043478,2132.6060606060605,Feuil2
2017,MORNAGUIA,9946.793248945147,12144.043786220218,96.8840579710145,2693.8181818181815,Feuil2
2017,BORJ EL AMRI,11367.763713080169,14078.493238892468,276.81159420289856,5892.727272727273,Feuil2
2017,DJEDAIDA,16767.45147679325,33208.04893754025,276.81159420289856,15152.727272727274,Feuil2
2017,TEBOURBA,22025.042194092828,20634.127495170636,1107.2463768115942,3255.030303030303,Feuil2
2017,EL BATTANE,5683.881856540084,10617.97810688989,69.20289855072464,19502.121212121212,Feuil2
2018,MANOUBA,288.4050632911392,2374.4365743721833,40.0,1134.787878787879,Feuil2
2018,DOUAR HICHER,144.2025316455696,474.8873148744367,0.0,980.0440771349862,Feuil2
2018,OUED ELLIL,1153.6202531645567,5508.692852543465,40.0,1960.0881542699724,Feuil2
2018,MORNAGUIA,10094.177215189871,10732.453316162268,100.0,2475.0,Feuil2
2018,BORJ EL AMRI,11536.20253164557,12442.04764971024,280.0,5410.0,Feuil2
2018,DJEDAIDA,17015.898734177215,29348.036059240185,270.0,13930.0,Feuil2
2018,TEBOURBA,22351.392405063292,18235.672891178365,1100.0,3000.0,Feuil2
2018,EL BATTANE,5768.101265822785,9383.773341918868,76.0,17920.0,Feuil2
2019,MANOUBA,326.9493670886076,2830.811332904057,48.268625393494226,1264.3636363636365,Feuil2
2019,DOUAR HICHER,163.4746835443038,566.1622665808115,0.0,1091.9504132231405,Feuil2
2019,OUED ELLIL,1307.7974683544303,6567.482292337412,48.268625393494226,2183.900826446281,Feuil2
2019,MORNAGUIA,11443.227848101262,12795.267224726338,120.67156348373557,2757.6078829309977,Feuil2
2019,BORJ EL AMRI,13077.974683544304,14833.45138441726,337.8803777544596,6027.74086733604,Feuil2
2019,DJEDAIDA,19290.01265822785,34988.828074694145,325.81322140608603,15520.597094637898,Feuil2
2019,TEBOURBA,25338.575949367092,21740.631036703155,1327.3871983210913,3342.5550096133306,Feuil2
2019,EL BATTANE,6538.987341772152,11187.366387636834,91.71038824763903,19966.195257423627,Feuil2
2020,MANOUBA,292.57383966244726,2540.78128353724,41.552990556138504,1915.1515151515152,Feuil2
2020,DOUAR HICHER,146.28691983122363,508.1562567074481,0.0,1653.9944903581265,Feuil2
2020,OUED ELLIL,1170.295358649789,5894.612577806397,41.552990556138504,3307.988980716253,Feuil2
2020,MORNAGUIA,10240.08438818565,11484.331401588324,103.88247639034627,4176.992095706046,Feuil2
2020,BORJ EL AMRI,11702.95358649789,13313.693925735139,290.87093389296956,9130.314035462508,Feuil2
