annee,delegation,production_des_cereales_en_tonnes,production_des_fourrages_en_tonnes,production_des_legumineuses_en_tonnes,production_des_cultures_maraicheres_en_tonnes,feuille
2020,DJEDAIDA,17261.856540084387,31404.056664520285,280.48268625393496,23509.29288613544,Feuil2
2020,TEBOURBA,22674.472573839666,19513.200257566,1142.707240293809,5063.020722067934,Feuil2
2020,EL BATTANE,5851.476793248945,10041.167632539173,78.95068205666317,30243.110446485793,Feuil2
2021,MANOUBA,340.42194092827003,2366.3876368319384,41.17523609653725,1890.618181818182,Feuil2
2021,DOUAR HICHER,170.21097046413502,473.2775273663878,0.0,1632.8066115702477,Feuil2
2021,OUED ELLIL,1361.6877637130801,5490.019317450097,41.17523609653725,3265.6132231404954,Feuil2
2021,MORNAGUIA,11914.767932489447,10696.07211848036,102.93809024134312,4123.484298226875,Feuil2
2021,BORJ EL AMRI,13616.877637130801,12399.871216999358,288.22665267576076,9013.35355693228,Feuil2
2021,DJEDAIDA,20084.894514767933,29248.551191242757,277.93284365162646,23208.135868404188,Feuil2
2021,TEBOURBA,26382.700421940932,18173.857050869286,1132.3189926547743,4998.162785729544,Feuil2
2021,EL BATTANE,6808.438818565401,9351.96394075982,78.23294858342078,29855.69237342448,Feuil2
2022,MANOUBA,306.0210970464135,2017.6003434213353,25.07869884575026,1153.0201496574773,Feuil2
2022,DOUAR HICHER,153.01054852320675,403.52006868426713,0.0,995.7901292496392,Feuil2
2022,OUED ELLIL,1224.084388185654,4680.832796737498,25.07869884575026,1991.5802584992784,Feuil2
2022,MORNAGUIA,10710.738396624469,9119.553552264435,62.696747114375654,2514.765026791136,Feuil2
2022,BORJ EL AMRI,12240.84388185654,10572.225799527798,175.55089192025184,5496.9207252283,Feuil2
2022,DJEDAIDA,18055.244725738397,24937.5402446877,169.28121720881427,14153.808817454756,Feuil2
2022,TEBOURBA,23716.63502109705,15495.170637475854,689.6642182581322,3048.2000324741034,Feuil2
2022,EL BATTANE,6120.42194092827,7973.556557201116,47.649527806925505,18207.914860645313,Feuil2
2023,MANOUBA,26.160337552742618,797.1131144022323,7.681007345225603,531.7584833004661,Feuil2
2023,DOUAR HICHER,13.080168776371309,159.4226228804465,0.0,459.24596285040235,Feuil2
2023,OUED ELLIL,104.64135021097047,1849.3024254131792,7.681007345225603,918.4919257008047,Feuil2
2023,MORNAGUIA,915.6118143459912,3602.9512770980896,19.20251836306401,1159.778202402413,Feuil2
2023,BORJ EL AMRI,1046.4135021097045,4176.872719467698,53.76705141657922,2535.111141412951,Feuil2
2023,DJEDAIDA,1543.4599156118145,9852.31809401159,51.84679958027282,6527.559741198227,Feuil2
2023,TEBOURBA,2027.426160337553,6121.828718609144,211.2277019937041,1405.791760487773,Feuil2
2023,EL BATTANE,523.2067510548522,3150.191028117622,14.593913955928649,8397.262782646965,Feuil2
2024,MANOUBA,200.9704641350211,2033.6982185018246,20.776495278069255,720.0,Feuil2
2024,DOUAR HICHER,100.48523206751055,406.73964370036504,0.0,215.0,Feuil2
2024,OUED ELLIL,803.8818565400844,4718.179866924234,20.776495278069255,1295.0,Feuil2
2024,MORNAGUIA,7033.966244725736,9192.315947628245,51.94123819517314,1730.0,Feuil2
2024,BORJ EL AMRI,8038.818565400843,10656.578664949562,145.43546694648478,3600.0,Feuil2
2024,DJEDAIDA,11857.257383966245,25136.50998068255,140.24134312696748,8860.0,Feuil2
2024,TEBOURBA,15575.210970464137,15618.802318094013,571.3536201469045,2060.0,Feuil2
2024,EL BATTANE,4019.4092827004215,8037.17535951921,39.47534102833159,11380.0,Feuil2
