annee,type,production_tonne,superficie_recoltee_ha,superficie_ensemencee_ha,feuille
2022,foin,16125.0,3250.0,3720.0,Feuil2
2022,ensillage,6625.0,265.0,265.0,Feuil2
2022,fourrage vert,15230.0,900.0,1250.0,Feuil2
2022,semence fourragere,147.0,165.0,220.0,Feuil2
2022,sorgho fourrager,5000.0,125.0,125.0,Feuil2
2022,mais fourrager,1925.0,55.0,55.0,Feuil2
2022,luzerne,7200.0,160.0,160.0,Feuil2
2023,foin,10703.0,1835.0,5010.0,Feuil2
2023,ensillage,1980.0,165.0,260.0,Feuil2
2023,fourrage vert,6725.0,395.0,830.0,Feuil2
2023,semence fourragere,,,,Feuil2
2023,sorgho fourrager,7200.0,180.0,180.0,Feuil2
2023,mais fourrager,,,,Feuil2
2023,luzerne,5625.0,125.0,125.0,Feuil2
2024,foin,14640.0,2300.0,3210.0,Feuil2
2024,ensillage,2400.0,150.0,150.0,Feuil2
2024,fourrage vert,9600.0,495.0,705.0,Feuil2
2024,semence fourragere,,,,Feuil2
2024,sorgho fourrager,6000.0,150.0,150.0,Feuil2
2024,mais fourrager,,,,Feuil2
2024,luzerne,9675.0,215.0,215.0,Feuil2
