mois,janvier,fevrier,mars,avril,mai,juin,juillet,aout,septembre,octobre,novembre,decembre,feuille
Ble-dur,76.3,122.3,200.5,364.099808709,407.3,416.4,425.4,429.6,433.7,442.0,449.2,451.8,M°2019 (MD)
Ble-tendre,86.5,127.3,276.5,334.0632409889,437.1,457.1,507.5,590.8,671.0,734.8,820.8,889.2,M°2019 (MD)
Orge,64.0,85.5,190.1,250.0765244132,266.7,266.7,295.3,295.3,307.4,322.8,337.5,367.2,M°2019 (MD)
Maïs,63.8,83.5,130.5,161.028,232.2,252.2,310.7,348.3,408.4,469.2,537.8,565.4,M°2019 (MD)
Pomme-de-terre,5.9,6.0,6.0,6.026,10.8,10.8,10.8,16.9,16.9,22.8,40.9,64.9,M°2019 (MD)
Viandes,2.7,4.3,8.8,15.052,23.5,31.7,39.2,44.5,50.9,55.6,62.6,67.3,M°2019 (MD)
Lait-et-derives,18.8,29.0,43.1,57.176,76.6,84.3,96.0,108.3,127.1,138.0,156.6,179.5,M°2019 (MD)
Huiles-vegetales,25.7,63.9,100.6,152.303,184.6,245.0,297.3,337.0,395.9,434.1,464.9,532.5,M°2019 (MD)
Sucre,14.4,83.7,144.2,189.183,260.9,297.1,335.0,335.1,354.7,419.9,453.5,472.6,M°2019 (MD)
Tourtaux-de-soja,0.1,0.1,0.1,0.203,0.7,1.0,1.1,1.1,1.1,5.4,14.4,14.4,M°2019 (MD)
