mois,janvier,fevrier,mars,avril,mai,juin,juillet,aout,septembre,octobre,novembre,decembre,feuille
Ble-dur,66.4,61.19999999999999,78.4,91.5,79.10000000000002,6.599999999999966,7.199999999999989,25.600000000000023,21.5,19.69999999999999,47.19999999999999,53.30000000000007,M°2018 (MD)
Ble-tendre,47.9,38.6,54.0,82.9,64.9,54.5,48.099999999999966,74.90000000000003,60.80000000000001,72.5,36.10000000000002,99.59999999999991,M°2018 (MD)
Orge,14.0,27.200000000000003,26.5,43.099999999999994,32.2,17.099999999999994,22.80000000000001,28.69999999999999,41.599999999999994,36.400000000000034,74.0,39.599999999999966,M°2018 (MD)
Maïs,19.7,30.3,13.600000000000001,58.6,52.3,17.099999999999994,32.20000000000002,69.80000000000001,36.5,20.299999999999955,27.5,59.900000000000034,M°2018 (MD)
Pomme-de-terre,6.9,7.9,1.8000000000000007,0.09999999999999787,0.0,0.0,0.0,0.0,0.0,0.0,9.100000000000001,18.400000000000002,M°2018 (MD)
Viandes,2.4,2.4,3.1000000000000005,3.799999999999999,7.5,7.900000000000002,4.699999999999999,4.400000000000002,4.0,3.3999999999999986,2.6999999999999957,5.900000000000006,M°2018 (MD)
Lait-et-derives,11.7,8.3,12.299999999999997,11.300000000000004,7.399999999999999,12.899999999999999,6.800000000000004,8.700000000000003,16.0,19.599999999999994,8.799999999999997,17.700000000000003,M°2018 (MD)
Huiles-vegetales,60.8,52.2,16.19999999999999,34.30000000000001,45.900000000000006,33.599999999999994,41.39999999999998,37.900000000000034,39.0,51.89999999999998,53.80000000000001,13.300000000000011,M°2018 (MD)
Sucre,122.6,41.400000000000006,77.9,17.400000000000006,48.19999999999999,46.10000000000002,43.0,82.59999999999997,0.5,0.19999999999998863,37.80000000000007,93.69999999999993,M°2018 (MD)
Tourtaux-de-soja,0.0,0.0,0.0,7.4,0.0,0.0,0.0,24.6,5.899999999999999,0.0,5.399999999999999,0.0,M°2018 (MD)
