delegation,secteur,acquisition_des_geniteurs_ovins_nb,acquisition_des_geniteurs_caprins_nb,acquisition_des_geniteurs_bovins_nb,insemination_artificielle_nb,feuille
الكريب,حمام بياضة الشمالية,4,1,1,23,PA Unite siliana
الكريب,حمام بياضة الجنوبية,14,4,1,856,PA Unite siliana
الكريب,برج المسعوي الغربية,0,0,0,0,PA Unite siliana
الكريب,برج المسعوي الشرقية,3,0,0,875,PA Unite siliana
الكريب,الكريب الشمالي,4,0,0,201,PA Unite siliana
الكريب,الكريب الجنوبي,4,2,1,70,PA Unite siliana
الكريب,الدخانية,12,0,1,134,PA Unite siliana
سيدي بورويس,العباسي,7,3,1,380,PA Unite siliana
سيدي بورويس,عين عاشور,2,0,1,0,PA Unite siliana
سيدي بورويس,التريشة,5,0,1,0,PA Unite siliana
سليانة  الشمالية,الجوى,22,0,2,0,PA Unite siliana
سليانة  الشمالية,جامة,16,0,1,0,PA Unite siliana
سليانة  الشمالية,مصوج,0,0,1,40,PA Unite siliana
سليانة  الشمالية,عين الديسة,2,0,0,0,PA Unite siliana
سليانة  الشمالية,الخلصة,0,0,0,0,PA Unite siliana
