السنة,القطاع,المساحة_الجملية,مروي,feuille
2018,الأشجار المثمرة,22083,7863,Feuil1
2019,الأشجار المثمرة,22092,7870,Feuil1
2020,الأشجار المثمرة,22105,9485,Feuil1
2021,الأشجار المثمرة,22319,9634,Feuil1
2022,الأشجار المثمرة,22597,9837,Feuil1
