date,prix_min,prix_moy,prix_max,feuille
29/4/2022 au5/5/2022,3.298,3.399,3.845,Feuil1
30/4/2022 au 6/5/2022,3.298,3.43,3.8,Feuil1
3/5/2022au9/5/2022,3.297,3.417,3.8,Feuil1
4/5/2022au10/5/2022,3.297,3.42,3.797,Feuil1
7/5/2022au13/5/2022,3.297,3.42,3.797,Feuil1
14/5/2022 au 20/5/2022,3.273,3.391,3.669,Feuil1
17/5/2022 au 23/5/2022,3.249,3.436,4.05,Feuil1
20/5/2022 au 26/5/2022,3.291,3.383,3.6,Feuil1
25/5/2022 au 31/5/2022,3.248,3.398,3.798,Feuil1
31/5/2022 au 6/6/2022,3.2,3.379,3.79,Feuil1
3/6/2022 au 9/6/2022,3.249,3.399,3.847,Feuil1
