port_ou_point_de_debarquement,nombre_de_navire_de_peche_cotiere_equipes_avec_moteur,nombre_de_navires_de_peche_cotiere_non_equipes_avec_moteur,nombre_de_navires_de_peche_au_poisson_bleu,nombre_de_navires_de_peche_au_chalut,nombre_de_navires_de_peche_au_corail,nombre_total_de_navires_de_peche,main_dœuvre,feuille
جرزونـــة,191.0,306.0,16.96477900552486,25.946132596685082,25,564.9109116022099,2310,Feuil1
غار الملـح,159.0,178.0,27.94198895027624,0.0,0,364.94198895027625,1480,Feuil1
م.عبد الرحمان,80.0,98.0,0.0,0.0,0,178.0,550,Feuil1
"كاب الزبيب, الدمنة",28.939917127071823,12.973066298342541,0.0,0.0,0,41.91298342541437,126,Feuil1
"سيدي مشرق, كاف عباد, لوكة, كاب سيرات,,",30.0,102.78660220994475,0.0,0.0,0,132.78660220994476,387,Feuil1
منزل بورقيبة,2.99378453038674,13.97099447513812,0.0,0.0,0,16.96477900552486,51,Feuil1
"رفراف, صونين, راس الجبل",7.983425414364641,91.80939226519338,0.0,0.0,0,99.79281767955803,300,Feuil1
"راس انجلا, الغيران, الحويشات",9.9792817679558,93.80524861878453,0.0,0.0,0,103.78453038674033,312,Feuil1
المجموع,509.896408839779,897.3453038674033,44.9067679558011,25.946132596685082,25,1503.0946132596682,5516,Feuil1
