name,delegation,capacite_litre,date_lnitiale_dactivite,date_agrement_sanitaire,numero_dagrement_sanitaire,longitude,latitude,feuille
Centre de collecte de lait Tkadam,Sidi thabet,16500,1999-10-20,2010-02-23,CL0114,10.054,36.9134,Feuil1
Centre de collecte de lait Eya,Sidi thabet,14000,2004-09-02,2009-06-01,CL0101,10.0751,36.959,Feuil1
Centre de collecte de lait Mahbouba,Kalaat Andalous,17500,2009-08-01,2009-11-23,CL0104,10.073,37.0165,Feuil1
Centre de collecte de lait Marwa,Kalaat Andalous,20000,2006-09-30,2009-12-29,CL0106,10.1159,37.0589,Feuil1
Centre de collecte de lait Zohra,Kalaat Andalous,11000,2006-06-30,2010-02-23,CL0115,10.1264,36.9684,Feuil1
