نوع_التربية,سنة_2011,سنة_2012,سنة_2013,سنة_2014,سنة_2015,سنة_2016,سنة_2017,سنة_2018,feuille
دجاج لحم,859.0,754.0,482.0,307.0,242.0,216,360,988,Feuil1
دجاج بياض,179.0,144.0,140.0,103.0,85.0,65,71,178,Feuil1
أمهات دجاج لحم,57.0,27.0,22.0,13.0,17.0,23,37,72,Feuil1
أمهات دجاج بيض,4.0,3.0,3.0,2.0,3.0,2,4,3,Feuil1
ديك رومي,4.0,3.0,2.0,1.0,1.0,1,4,20,Feuil1
إنتاج ديك رومي,2.0,2.0,13.0,10.0,3.0,2,11,1,Feuil1
مذبح ديك رومي,9.0,12.0,2.0,2.0,11.0,6,2,17,Feuil1
أمهات ديك رومي,2.0,2.0,3.0,2.0,2.0,2,2,2,Feuil1
مذبح دجاج لحم,11.0,12.0,13.0,11.0,11.0,7,12,20,Feuil1
أرانب لحم,,,,,,9,22,3,Feuil1
أمهات و فحول الأرانب,,,,,,2,2,1,Feuil1
