annee,depense_totale_pour_les_complexes_de_la_secadenord_en_million_dinar,depense_energetique_pour_la_desserte_des_clients_en_million_dinar,depense_energetique_pour_le_transfert_y_compris_station_taref_en_million_dinar,feuille
2014,12.288853489,12.288853489,0.0,Feuil1
2015,12.981799538999997,12.981799538999997,0.0,Feuil1
2016,18.336049538268078,13.353405236323203,4.982644301944873,Feuil1
2017,29.968482667731923,9.228038108680103,20.74044455905182,Feuil1
2018,26.115103443000006,10.141492667442046,15.973610775557956,Feuil1
2019,17.487214003000002,15.743970768512227,1.7432432344877764,Feuil1
2020,30.496068983999997,16.05583901826369,15.064384291736307,Feuil1
2021,31.221534425999995,13.896905853299025,17.324628572700973,Feuil1
2022,34.302420606,13.515187978863548,20.78723262713645,Feuil1
2023,52.695901,11.528936,41.166965,Feuil1
2024,47.348,11.869,35.478,Feuil1
