السنة,الغراسة,المساحة_هك,عدد_الاصول,الانتاج_طن,عدد_الفلاحين,feuille
2020.0,زيتون زيت بيولوجي,,1377505 (منها 290308 يحول منتوجها خارج الولاية ),8545 طن زيت زيتون بيولوجي,1151 فلاح,الفلاحة البيولوجية
2020.0,الأشجار المثمرة (رمان +لوز+ ارتج ),,108000,1350 طن,2 فلاح +1 شركة,الفلاحة البيولوجية
2020.0,أعشاب طبية و  عطرية,,,500 طن (أعشاب طازجة ),8 فلاح + 1 شركة,الفلاحة البيولوجية
2020.0,الغابات (إكليل الجبل و الخروب  ),4327.0,,11 طن زيت إكليل,3 شركة + 2 مجمع تنمية فلاحية,الفلاحة البيولوجية
2020.0,,,,46 طن إكليل مجفف,,الفلاحة البيولوجية
2020.0,تين شوكي,253.0,,5500 كغ من بذور التين الشوكي,20,الفلاحة البيولوجية
2020.0,خضروات,10.0,,40,2,الفلاحة البيولوجية
2020.0,المجموع,30937.0,,10497   طن,1186 فلاح + 5 شركات + 2 مجمع,الفلاحة البيولوجية
2021.0,زيتون زيت بيولوجي,31174.0,1731890,9000,1701,الفلاحة البيولوجية
2021.0,الأشجار المثمرة (رمان +لوز+ ارتج ),155.0,13000,185,2 فلاح + 2 شركة,الفلاحة البيولوجية
2021.0,أعشاب طبية و  عطرية,812.0,,1128,27 فلاح + 01 شركة,الفلاحة البيولوجية
2021.0,الغابات (إكليل الجبل و الخروب  ),4786.0,,"118 طن اكليل مجفف + 7,3 طن زيت اكليل",6 شركات,الفلاحة البيولوجية
,,,,,,الفلاحة البيولوجية
2021.0,تين شوكي,307.0,,37 طن بذور تين شوكي (1200 طن تين شوكي + 295 طن تين شوكي,78 فلاح,الفلاحة البيولوجية
2021.0,زراعات كبرى,,,70 طن,3 فلاحين,الفلاحة البيولوجية
2021.0,ارض بور,30.0,,,1 فلاح,الفلاحة البيولوجية
2021.0,المجموع,37024.0,,,1812 فلاح + 9 شركات,الفلاحة البيولوجية
2022.0,زيتون زيت بيولوجي,31174.0,1731089,10000,1847,الفلاحة البيولوجية
2022.0,الأشجار المثمرة ( +لوز+ ارتج ),55.0,9000,25,2 فلاح + 1 شركة,الفلاحة البيولوجية
2022.0,أعشاب طبية و  عطرية,790.0,,1128,27 فلاح + 01 شركة,الفلاحة البيولوجية
2022.0,الغابات (إكليل الجبل+ الخروب  ),7627.0,,115 طن اكليل مجفف + 10طن زيت اكليل + 110 طن خروب,8 شركات,الفلاحة البيولوجية
2022.0,تين شوكي,524.0,,64 طن بذور ( حوالي 2100 طن تين شوكي ),فلاح  78,الفلاحة البيولوجية
2022.0,خضروات,22.0,,130 طن,,الفلاحة البيولوجية
2022.0,ارض بور,30.0,,,1,الفلاحة البيولوجية
2022.0,المجموع,40222.0,,,1955 فلاح + 10 شركات,الفلاحة البيولوجية
