code,produits,annee_1999,annee_2000,annee_2001,annee_2002,annee_2003,annee_2004,annee_2005,annee_2006,annee_2007,annee_2008,annee_2009,annee_2010,annee_2011,annee_2012,annee_2013,annee_2014,annee_2015,annee_2016,annee_2017,feuille
10110,Chevaux reproducteurs de race pur (1)*,0,0,0,104726,122833,288432,433285,588672,2192420,346940,915872,619129,485596,1092524,0,0,0,0,0,Feuil1
10111,Chevaux reproducteurs de race pur *,566826,54927,481111,168640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feuil1
10121,Animaux du genre buffle reproducteur de race pure,0,0,0,0,0,0,0,0,0,0,0,0,0,1922629,4460538,3272967,2333191,1448556,938532,Feuil1
10129,"Autres Chevaux, ânes, mulets et bardots, vivants",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8345,22632,1559,0,Feuil1
10190,Autres chevaux non reproducteurs de race pure destines a la boucherie*,0,0,0,0,0,0,0,1061,0,12719,0,26788,4833,1744,0,0,0,0,0,Feuil1
10210,Animaux vivants de l'espèce bovine reproducteurs de race pure,1583342,2411344,303894,0,0,4093505,5721605,1397905,776417,1261182,3196039,5786817,3267354,994745,0,0,0,0,0,Feuil1
10221,Reproducteurs de race pure des Animaux vivants de l’espèce bovine.,0,0,0,0,0,0,0,0,0,0,0,0,0,1062486,4745190,1779094,3111255,936643,931371,Feuil1
10229,Autres animaux vivants de l'espéce bovine,0,0,0,0,0,0,0,0,0,0,0,0,0,14119649,60097251,32386782,33123507,0,101813,Feuil1
10290,Animaux vivants de l'espèce bovine domestique non reproducteurs de race pure*,1095918,158619,0,0,0,7337125,1649735,4904130,7734986,220376,19155433,23682216,29263160,3066009,0,0,0,0,0,Feuil1
10310,Animaux vivants de l'espèce porcine reproducteurs de race pure*,0,108665,48497,0,0,0,0,164940,0,83623,0,0,0,0,0,0,0,0,0,Feuil1
10410,Animaux vivants des espèces ovine ou caprine de l'espèce ovine,103327,1117264,1137067,0,0,0,0,0,0,0,0,0,108893,27204475,8460045,2183036,0,0,5944,Feuil1
10420,"Animaux vivants des espèces ovine ou caprine de l'espèce caprine;fraîches,réfrigérés ou congelés;carcasses et demi d'agneau*",0,0,0,0,0,0,0,0,10356,14498,0,0,0,0,0,0,0,0,0,Feuil1
10511,"Coqs,poules,canards,oies,dindons,dindes et pintades,vivants,des espèces domestiques:d'un poids n'excédant pas 185g:coqs et poules*",2309634,2485320,2665692,2895255,3302651,3176833,3767918,3074136,4222522,4392500,4640424,5328948,6255031,6661493,8430021,9098492,9273684,9169074,8902660,Feuil1
10512,"Coqs,poules,canards,oies,dindons,dindes,et pintades,vivants,des espèces domestiques dindes et dindons*",725455,1248827,928847,665700,670541,594013,675482,735382,1135422,1015111,1109017,1317740,1275707,1980588,2373947,2604255,2263240,3335702,4942022,Feuil1
10513,Canards d'un poids n'exédant pas 185 g,0,0,0,0,0,0,0,0,0,0,0,0,0,8258,7063,12458,7350,11624,12374,Feuil1
10519,"Autres que coqs,poules,canards,oies,dindons,dindes et pintades,vivants des espèces domestique n'excédant pas 185gr*",0,689,6278,7954,10404,11675,9947,10983,16989,8936,11584,13476,6101,1938,0,0,0,0,0,Feuil1
10592,"Coqs,poules,canards,oies,dindons,dindes et pintades,vivants,des espèces domestiques d'un poids n'excédant pas 2000g;autres*",0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feuil1
10594,Autres coqs et poules,0,0,0,0,0,0,0,0,0,0,0,0,0,935,400,169,8274,12627,8421,Feuil1
10599,"Coqs,poules,canards,oies,dindons,dindes et pintades,vivants des espèces domestiques;autres*",654,0,58,0,0,0,0,0,0,0,0,0,0,699,0,2411,450,1737,350,Feuil1
10600,Autres animaux vivants,82803,168650,468411,53433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feuil1
10611,Autres animaux vivants mammifères primates*,0,0,0,0,0,1,0,0,0,0,0,0,6000,0,0,0,0,0,0,Feuil1
10612,Autres animaux vivants mammifères baleines dauphins lamantins et dugongs*,0,0,0,0,0,0,0,0,0,2680,0,834515,747383,0,0,0,0,0,0,Feuil1
10614,Lapins et lièvres,0,0,0,0,0,0,0,0,0,0,0,0,0,301,876,903,4006,1975,3106,Feuil1
10619,Autres animaux vivants mammifères autres*,0,0,0,107,22783,8386,2208,2652,14320,1749,3011,50807,146211,33388,14634,12974,2043,124166,213932,Feuil1
10620,Autres animaux vivants reptiles*,0,0,0,0,0,0,0,0,0,0,0,11122,0,3984,5333,8519,0,0,0,Feuil1
10632,Autres animaux vivants oiseaux psittaciformes*,0,0,0,0,352,309,500,0,0,0,0,0,0,0,0,23613,42375,15662,30657,Feuil1
10639,Autres animaux vivants oiseaux autres*,0,0,0,9097,1874,4643,35588,32861,0,0,0,29587,10387,57263,73094,171432,208169,162278,191596,Feuil1
10641,Abeilles,0,0,0,0,0,0,0,0,0,0,0,0,0,171878,369592,151239,86526,110207,249961,Feuil1
