nbr,inv,emp,gouv,delegation,annee_doa,feuille
25,4037393,29,زغوان,الفحص,2010,SQL Results
4,770300,29,مدنين,أجيم,2010,SQL Results
1,26035,0,أريانة,أريانة المدينة,2010,SQL Results
1,27000,1,سوسة,أكودة,2010,SQL Results
7,882188,12,قفصة,أم  العرائس,2010,SQL Results
21,4938166,28,بنزرت,أوتيك,2010,SQL Results
2,110000,2,المهدية,أولاد الشامخ,2010,SQL Results
10,689076,17,سيدي بوزيد,أولاد حفوز,2010,SQL Results
7,1016962,8,منــوبة,البطان,2010,SQL Results
4,226100,6,المنستير,البقا لطة,2010,SQL Results
29,14806461,33,منــوبة,الجديدة,2010,SQL Results
12,476400,12,الكاف,الجريصة,2010,SQL Results
13,7521000,11,المهدية,الجم,2010,SQL Results
58,55442278,95,قابس,الحامة,2010,SQL Results
2,690000,3,تــونس,الحرايرية,2010,SQL Results
8,168984,8,نابل,الحمامات,2010,SQL Results
2,149500,3,صفاقس,الحنشة,2010,SQL Results
37,1961450,37,الكاف,الدهماني,2010,SQL Results
2,168682,4,تطاوين,الذهيبة,2010,SQL Results
1,60658,2,قفصة,الرديف,2010,SQL Results
90,20950021,121,سيدي بوزيد,الرقاب,2010,SQL Results
13,1372200,13,سليانة,الروحية,2010,SQL Results
5,139812,4,زغوان,الزريبة,2010,SQL Results
4,127000,4,بن عروس,الزهراء,2010,SQL Results
1,43700,1,المنستير,الساحلين,2010,SQL Results
30,1314131,36,القيروان,السبيخة,2010,SQL Results
28,1134716,28,الكاف,السرس,2010,SQL Results
13,708786,19,قفصة,السند,2010,SQL Results
5,244000,5,المهدية,السواسي,2010,SQL Results
3,750000,5,تــونس,السيجومي,2010,SQL Results
17,7236000,59,المهدية,الشابة,2010,SQL Results
41,1950600,51,القيروان,الشبيكة,2010,SQL Results
18,593500,20,القيروان,الشراردة,2010,SQL Results
18,1588080,26,صفاقس,الصخيرة,2010,SQL Results
6,498320,8,تطاوين,الصمّار,2010,SQL Results
7,341971,7,بنزرت,العا لية,2010,SQL Results
2,94269,2,صفاقس,العامرة,2010,SQL Results
9,919000,12,سليانة,العروسة,2010,SQL Results
5,180500,5,القيروان,العلا,2010,SQL Results
7,345126,10,القصرين,العيون,2010,SQL Results
1,26600,1,صفاقس,الغريبة,2010,SQL Results
13,4232134,27,بنزرت,الغزالة,2010,SQL Results
6,271840,6,قبلي,الفوار,2010,SQL Results
6,633215,11,قفصة,القصر,2010,SQL Results
34,1471658,54,القصرين,القصرين الجنوبية,2010,SQL Results
2,62573,3,القصرين,القصرين الشما لية,2010,SQL Results
28,2598000,32,الكاف,القصور,2010,SQL Results
5,685288,6,قفصة,القطار,2010,SQL Results
1,88000,1,سوسة,القلعة الصغرى,2010,SQL Results
13,1809500,14,سوسة,القلعة الكبرى,2010,SQL Results
43,2259199,52,القيروان,القيروان الجنوبية,2010,SQL Results
14,677500,18,القيروان,القيروان الشما لية,2010,SQL Results
25,926200,27,الكاف,الكاف الشرقية,2010,SQL Results
12,607727,13,الكاف,الكاف الغربية,2010,SQL Results
23,5855500,24,سليانة,الكريب,2010,SQL Results
1,55193,1,قفصة,المتلوي,2010,SQL Results
19,9973469,35,صفاقس,المحرس,2010,SQL Results
7,3551100,8,بن عروس,المحمدية,2010,SQL Results
8,2200166,10,منــوبة,المرناقية,2010,SQL Results
23,3323592,32,سيدي بوزيد,المزونة,2010,SQL Results
19,1655188,42,قابس,المطوية,2010,SQL Results
23,2648366,33,سيدي بوزيد,المكناسي,2010,SQL Results
17,11548500,30,المنستير,المكنين,2010,SQL Results
12,81250000,35,المنستير,المنستير,2010,SQL Results
1,48030,2,أريانة,المنيهلة,2010,SQL Results
20,36148000,55,المهدية,المهدية,2010,SQL Results
10,181484,10,نابل,الميدة,2010,SQL Results
8,442316,9,زغوان,الناظور,2010,SQL Results
12,2867000,15,سوسة,النفيضة,2010,SQL Results
25,32699062,45,نابل,الهوارية,2010,SQL Results
6,334400,6,المنستير,الوردانين,2010,SQL Results
14,408000,14,القيروان,الوسلاتية,2010,SQL Results
24,1868204,33,سيدي بوزيد,بئر الحفي,2010,SQL Results
8,463775,8,صفاقس,بئر علي بن خليفة,2010,SQL Results
17,1425503,25,زغوان,بئر مشارقة,2010,SQL Results
16,966431,17,باجة,باجة الجنوبية,2010,SQL Results
19,2752614,33,باجة,باجة الشما لية,2010,SQL Results
12,3036855,20,منــوبة,برج العامري,2010,SQL Results
22,10250800,24,سليانة,برقو,2010,SQL Results
18,947589,18,جندوبة,بلطة بوعوان,2010,SQL Results
3,1203000,3,بن عروس,بن عروس,2010,SQL Results
11,727635,15,مدنين,بن قردان,2010,SQL Results
7,222500,7,المنستير,بنبلة,2010,SQL Results
26,2713860,30,بنزرت,بنزرت الجنوبية,2010,SQL Results
4,126000,4,المنستير,بني حسان,2010,SQL Results
11,1251215,22,مدنين,بني خداش,2010,SQL Results
27,13561690,39,نابل,بني خلاد,2010,SQL Results
22,65387261,51,نابل,بني خيار,2010,SQL Results
6,608000,6,المهدية,بو مرداس,2010,SQL Results
42,2798010,55,جندوبة,بوسا لم,2010,SQL Results
4,540000,5,سليانة,بوعرادة,2010,SQL Results
14,4717323,20,نابل,بوعرقوب,2010,SQL Results
2,184500,2,سوسة,بوفيشة,2010,SQL Results
2,59650,2,بن عروس,بومهل البساتين,2010,SQL Results
11,491108,16,القصرين,تا لة,2010,SQL Results
18,873300,18,الكاف,تاجروين,2010,SQL Results
9,2601469,12,نابل,تاكلسة,2010,SQL Results
5,332945,5,باجة,تبرسق,2010,SQL Results
23,1564493,26,باجة,تستور,2010,SQL Results
2,179506,4,تطاوين,تطاوين الجنوبية,2010,SQL Results
11,970043,25,تطاوين,تطاوين الشما لية,2010,SQL Results
1,9750,0,توزر,تمغزة,2010,SQL Results
13,527307,3,توزر,توزر,2010,SQL Results
4,216449,4,باجة,تيبار,2010,SQL Results
2,233000,2,صفاقس,جبنيانة,2010,SQL Results
8,2836708,10,القصرين,جدليان,2010,SQL Results
36,13952860,117,مدنين,جرجيس,2010,SQL Results
