station,cumul_2017_2018_mm,nbr_de_jour,moyenne_annuelle_mm,feuille
قفصة,203.8,39,185.1,Feuil1
السند,197.6,27,199.0,Feuil1
بلخير,155.0,11,123.6,Feuil1
الرديف,309.5,27,132.9,Feuil1
المتلوي,189.0,11,112.2,Feuil1
القطار,99.0,5,132.1,Feuil1
ام العرائس,287.4,22,139.7,Feuil1
المظيلة,170.0,17,107.5,Feuil1
سيدي عيش,157.7,33,211.9,Feuil1
سيدي بو بكر,162.0,26,173.7,Feuil1
