nbr_adi,mt_investissement_declaree,gouvernorat,delegation,secteur_activite,feuille
6,1168723.0,سوسة,النفيضة,الفلاحي,SQL Results
15,1601955.0,تطاوين,تطاوين الشما لية,الخدمات,SQL Results
6,1154633.0,مدنين,أجيم,الفلاحي,SQL Results
6,497376.0,سيدي بوزيد,أولاد حفوز,الخدمات,SQL Results
4,1132221.0,الكاف,الجريصة,الفلاحي,SQL Results
2,81868.0,توزر,الحامة,الخدمات,SQL Results
9,1382332.0,المنستير,البقا لطة,تربية الأحياء المائية,SQL Results
25,6992110.0,بنزرت,سجنان,الفلاحي,SQL Results
15,668975.0,قبلي,سوق الأحد,الفلاحي,SQL Results
8,3311500.0,تطاوين,الذهيبة,الفلاحي,SQL Results
10,619313.0,جندوبة,غارالدماء,الخدمات,SQL Results
3,1285000.0,سليانة,بوعرادة,الخدمات,SQL Results
6,486363.0,قبلي,رجيم معتوق,الفلاحي,SQL Results
3,311730.0,أريانة,رواد,الفلاحي,SQL Results
3,575933.0,توزر,تمغزة,الخدمات,SQL Results
1,82141.0,سوسة,سيدي الهاني,الخدمات,SQL Results
3,369500.0,تطاوين,الصمّار,الخدمات,SQL Results
3,239735.0,صفاقس,عقارب,الخدمات,SQL Results
5,6124987.0,سوسة,القلعة الكبرى,التحويل الأولي,SQL Results
15,2195756.0,القيروان,السبيخة,الخدمات,SQL Results
1,179129.0,نابل,الهوارية,الصيد البحري,SQL Results
17,2208935.0,جندوبة,بوسا لم,الخدمات,SQL Results
9,924000.0,المنستير,المكنين,الفلاحي,SQL Results
2,82000.0,المنستير,المنستير,الخدمات,SQL Results
5,613102.0,سليانة,برقو,الخدمات,SQL Results
8,868000.0,المهدية,قصور الساف,الفلاحي,SQL Results
2,277689.0,قابس,قابس المدينة,الخدمات,SQL Results
2,83450.0,نابل,بوعرقوب,الخدمات,SQL Results
3,181000.0,المنستير,قصيبة المديوني,الخدمات,SQL Results
6,464794.0,صفاقس,صفاقس الجنوبية,الخدمات,SQL Results
4,579889.0,باجة,تستور,الخدمات,SQL Results
4,717674.0,بنزرت,الغزالة,الخدمات,SQL Results
3,203196.0,قفصة,زانوش,الخدمات,SQL Results
4,284821.0,صفاقس,منزل شاكر,الخدمات,SQL Results
4,539000.0,المهدية,ملولش,الفلاحي,SQL Results
