inv_declare,nbr_adi,nbr_emploi_pervu,mois,gouvernorat,feuille
3012371,25,51,1,نابل,SQL Results
3725588,69,83,1,القصرين,SQL Results
1236538,8,11,1,قفصة,SQL Results
539540,11,16,1,المنستير,SQL Results
12262187,120,119,1,سيدي بوزيد,SQL Results
2197545,15,35,1,مدنين,SQL Results
268000,5,4,1,تــونس,SQL Results
19000,1,0,1,سوسة,SQL Results
1184253,9,8,1,قابس,SQL Results
4968100,20,108,1,بن عروس,SQL Results
199244,4,4,1,أريانة,SQL Results
3698500,46,34,1,القيروان,SQL Results
151220,2,1,1,قبلي,SQL Results
4918891,66,72,1,باجة,SQL Results
873515,26,22,1,جندوبة,SQL Results
419860,9,12,1,زغوان,SQL Results
101550,3,2,1,تطاوين,SQL Results
246040,6,4,1,الكاف,SQL Results
834741,20,25,1,بنزرت,SQL Results
841000,14,11,1,المهدية,SQL Results
2259342,19,69,1,صفاقس,SQL Results
888806,9,11,1,منــوبة,SQL Results
34588,5,0,1,توزر,SQL Results
2351000,42,8,1,سليانة,SQL Results
1088100,8,8,2,المنستير,SQL Results
600215,10,10,2,جندوبة,SQL Results
4689023,31,66,2,مدنين,SQL Results
198474,5,4,2,أريانة,SQL Results
425966,11,6,2,قابس,SQL Results
437298,6,11,2,توزر,SQL Results
1567710,34,4,2,سليانة,SQL Results
399456,7,12,2,زغوان,SQL Results
1089079,14,24,2,تــونس,SQL Results
2252000,30,26,2,صفاقس,SQL Results
4588855,48,37,2,نابل,SQL Results
2539150,22,81,2,بن عروس,SQL Results
1880000,39,11,2,القيروان,SQL Results
13926830,17,24,2,منــوبة,SQL Results
1307200,19,18,2,المهدية,SQL Results
478459,9,8,2,قبلي,SQL Results
1068220,20,20,2,بنزرت,SQL Results
3022340,5,159,2,تطاوين,SQL Results
640311,10,10,2,الكاف,SQL Results
3610095,64,67,2,القصرين,SQL Results
2350400,9,21,2,سوسة,SQL Results
2025839,16,30,2,قفصة,SQL Results
2504786,48,42,2,سيدي بوزيد,SQL Results
2258308,19,25,2,باجة,SQL Results
3170686,22,21,3,جندوبة,SQL Results
971674,12,15,3,باجة,SQL Results
4084092,67,93,3,القصرين,SQL Results
7053068,52,88,3,سيدي بوزيد,SQL Results
4504816,30,33,3,بنزرت,SQL Results
2018770,57,66,3,الكاف,SQL Results
2197000,41,250,3,القيروان,SQL Results
4602813,38,75,3,صفاقس,SQL Results
321129,12,9,3,مدنين,SQL Results
2033800,11,19,3,المنستير,SQL Results
439005,13,6,3,زغوان,SQL Results
1101364,24,13,3,بن عروس,SQL Results
1901167,18,41,3,منــوبة,SQL Results
6651246,58,42,3,نابل,SQL Results
806000,8,26,3,تــونس,SQL Results
4645267,11,21,3,قبلي,SQL Results
1206311,9,14,3,قفصة,SQL Results
3440500,24,7,3,سليانة,SQL Results
571000,8,8,3,سوسة,SQL Results
2875000,3,19,3,أريانة,SQL Results
1480005,26,12,3,قابس,SQL Results
4085000,28,46,3,المهدية,SQL Results
770170,17,22,3,تطاوين,SQL Results
1711000,37,34,4,سليانة,SQL Results
1949206,20,16,4,صفاقس,SQL Results
5036809,45,86,4,سيدي بوزيد,SQL Results
5584575,26,25,4,بنزرت,SQL Results
1125631,19,19,4,جندوبة,SQL Results
1316564,14,18,4,بن عروس,SQL Results
1338075,20,27,4,تطاوين,SQL Results
1767466,29,40,4,باجة,SQL Results
2415306,27,46,4,الكاف,SQL Results
107000,3,11,4,تــونس,SQL Results
413691,5,0,4,زغوان,SQL Results
1368300,27,19,4,قابس,SQL Results
3271700,33,28,4,المهدية,SQL Results
2026270,26,48,4,نابل,SQL Results
2130480,26,33,4,قفصة,SQL Results
895400,10,22,4,سوسة,SQL Results
722500,2,18,4,توزر,SQL Results
1791972,13,24,4,مدنين,SQL Results
290605,5,2,4,قبلي,SQL Results
3021145,60,52,4,القصرين,SQL Results
1298000,43,2,4,القيروان,SQL Results
12393990,14,44,4,المنستير,SQL Results
787282,16,11,4,منــوبة,SQL Results
140000,2,1,4,أريانة,SQL Results
3758799,116,120,5,الكاف,SQL Results
203000,4,2,5,تــونس,SQL Results
255000,3,6,5,تطاوين,SQL Results
793332,8,20,5,أريانة,SQL Results
4367323,20,44,5,زغوان,SQL Results
831000,12,18,5,سوسة,SQL Results
3453953,44,44,5,قفصة,SQL Results
1653963,18,33,5,مدنين,SQL Results
2004800,43,19,5,سليانة,SQL Results
888255,22,20,5,جندوبة,SQL Results
2363693,23,14,5,منــوبة,SQL Results
231531,3,5,5,قبلي,SQL Results
5957540,35,79,5,صفاقس,SQL Results
4398287,94,96,5,نابل,SQL Results
1481295,20,18,5,قابس,SQL Results
2414908,84,71,5,القصرين,SQL Results
3595926,11,27,5,توزر,SQL Results
2033916,33,31,5,بنزرت,SQL Results
4882000,31,43,5,المهدية,SQL Results
1427507,16,27,5,باجة,SQL Results
615110,11,21,5,بن عروس,SQL Results
12017852,50,74,5,القيروان,SQL Results
5968668,47,52,5,سيدي بوزيد,SQL Results
1872600,17,30,5,المنستير,SQL Results
2741634,33,57,6,صفاقس,SQL Results
524876,11,16,6,جندوبة,SQL Results
