annee,delegation,viandes_rouges_t,viandes_blanches_t,lait_t,miel_t,laine_t,œufs_million_unites,feuille
2018,بنزرت الشمالية,210.0,45,1600.0,1,4,0,Feuil1
2018,بنزرت الجنوبية,820.0,520,12500.0,10,18,1,Feuil1
2018,جرزونة,20.0,0,50.0,0,0,0,Feuil1
2018,منزل جميل,410.0,30,3900.0,3,2,0,Feuil1
2018,منزل بورقيبة,420.0,20,4200.0,1,10,0,Feuil1
2018,تينجة,310.0,10,1900.0,2,4,0,Feuil1
2018,ماطر,630.0,600,10100.0,6,24,80,Feuil1
2018,غزالة,460.0,50,11200.0,5,28,0,Feuil1
2018,جومين,620.0,40,18150.0,20,38,0,Feuil1
2018,سجنان,640.0,50,16900.0,70,32,0,Feuil1
2018,العالية,950.0,320,6500.0,3,4,2,Feuil1
2018,رأس الجبل,980.0,210,6000.0,10,6,0,Feuil1
2018,غار الملح,650.0,250,3500.0,6,9,2,Feuil1
2018,أوتيك,610.0,1600,17700.0,8,21,20,Feuil1
2018,المجموع,7730.0,3745,114200.0,145,200,105,Feuil1
2019,بنزرت الشمالية,229.0,36,1931.0,2,4,0,Feuil1
2019,بنزرت الجنوبية,894.0,419,15083.0,16,18,1,Feuil1
2019,جرزونة,21.0,0,60.0,0,0,0,Feuil1
2019,منزل جميل,447.0,24,4706.0,5,2,0,Feuil1
2019,منزل بورقيبة,458.0,16,5068.0,5,11,0,Feuil1
2019,تينجة,338.0,8,2293.0,2,4,0,Feuil1
2019,ماطر,687.0,484,12187.0,13,25,84,Feuil1
2019,غزالة,501.0,40,13515.0,14,30,0,Feuil1
2019,جومين,676.0,32,21901.0,23,40,0,Feuil1
2019,سجنان,698.0,40,20392.0,21,34,0,Feuil1
2019,العالية,1036.0,258,7843.0,8,4,2,Feuil1
2019,رأس الجبل,1068.0,169,7240.0,8,6,0,Feuil1
2019,غار الملح,709.0,202,4223.0,4,10,2,Feuil1
2019,أوتيك,665.0,1290,21358.0,22,22,21,Feuil1
2019,المجموع,8432.0,3020,137800.0,145,211,110,Feuil1
2020,بنزرت الشمالية,162.0,40,1771.0,1,4,0,Feuil1
2020,بنزرت الجنوبية,731.0,447,13284.0,7,21,1,Feuil1
2020,جرزونة,16.0,0,79.0,0,0,0,Feuil1
2020,منزل جميل,487.0,30,6121.0,2,4,0,Feuil1
2020,منزل بورقيبة,365.0,20,5412.0,0,13,0,Feuil1
2020,تينجة,284.0,10,2755.0,1,6,0,Feuil1
2020,ماطر,649.0,417,13383.0,4,19,85,Feuil1
2020,غزالة,406.0,40,14269.0,4,28,0,Feuil1
2020,جومين,528.0,30,18205.0,14,36,0,Feuil1
2020,سجنان,536.0,40,16630.0,49,37,0,Feuil1
2020,العالية,1137.0,288,8660.0,2,5,2,Feuil1
2020,رأس الجبل,1177.0,209,8758.0,7,8,0,Feuil1
2020,غار الملح,649.0,238,7085.0,4,12,2,Feuil1
2020,أوتيك,495.0,1192,19189.0,5,27,20,Feuil1
2020,المجموع,7623.000000000001,3000,135600.0,100,220,110,Feuil1
2021,بنزرت الشمالية,164.0,40,1634.0,1,4,0,Feuil1
2021,بنزرت الجنوبية,740.0,447,12256.0,7,21,1,Feuil1
2021,جرزونة,16.0,0,73.0,0,0,0,Feuil1
2021,منزل جميل,493.0,30,5647.0,2,4,0,Feuil1
2021,منزل بورقيبة,370.0,20,4993.0,0,13,0,Feuil1
2021,تينجة,288.0,10,2542.0,1,6,0,Feuil1
2021,ماطر,258.0,417,12347.0,4,19,80,Feuil1
2021,غزالة,411.0,40,13164.0,4,28,0,Feuil1
2021,جومين,535.0,30,16795.0,14,36,0,Feuil1
2021,سجنان,543.0,40,15342.0,49,37,0,Feuil1
2021,العالية,1151.0,288,7989.0,2,5,1,Feuil1
2021,رأس الجبل,1192.0,209,8080.0,7,8,0,Feuil1
2021,غار الملح,658.0,238,6536.0,4,12,2,Feuil1
2021,أوتيك,502.0,1192,17703.0,5,27,18,Feuil1
2021,المجموع,7722.0,3000,125099.99999999997,80,220,100,Feuil1
2022,بنزرت الشمالية,180.0,0,1700.0,1,4,0,Feuil1
2022,بنزرت الجنوبية,850.0,250,12500.0,4,20,1,Feuil1
2022,جرزونة,18.0,0,80.0,0,0,0,Feuil1
2022,منزل جميل,543.0,12,6120.0,1,4,0,Feuil1
2022,منزل بورقيبة,20.0,24,5400.0,0,13,0,Feuil1
2022,تينجة,330.0,10,2700.0,1,6,0,Feuil1
2022,ماطر,730.0,12,13500.0,2,19,86,Feuil1
2022,غزالة,450.0,80,14200.0,1,27,0,Feuil1
2022,جومين,610.0,0,18200.0,9,35,0,Feuil1
2022,سجنان,640.0,300,16800.0,32,36,0,Feuil1
2022,العالية,1300.0,400,8700.0,1,5,2,Feuil1
2022,رأس الجبل,1350.0,40,8700.0,4,8,0,Feuil1
2022,غار الملح,750.0,250,7100.0,2,11,0,Feuil1
2022,أوتيك,580.0,1750,19300.0,2,25,20,Feuil1
2022,المجموع,8351.0,3128,135000.0,60,213,109,Feuil1
