السنة,المعتمدية,بصل_هك,بطاطا_هك,طماطم_هك,فلفل_هك,دلاع_هك,بطيخ_هك,فقوس_هك,قرع_هك,سلق_هك,معدنوس_هك,كلافس_هك,المجموع,feuille
2021,بوزيد الغربية,,400,20,300,,,25.0,25.0,,,,770,Feuil1
2021,بوزيد الشرقية,,200,0,0,,,6.0,0.0,,,,206,Feuil1
2021,المكناسي,,10,300,5,,,15.0,,,,,330,Feuil1
2021,الرقاب,,15,550,10,,,20.0,15.0,,,,610,Feuil1
2021,السعيدة,,5,50,5,,,5.0,5.0,,,,70,Feuil1
2021,جلمة,,300,100,20,,,0.0,,,,,420,Feuil1
2021,بن عون,,0,0,0,,,0.0,,,,,0,Feuil1
2021,المزونة,,0,40,15,,,0.0,,,,,55,Feuil1
2021,السبالة,,5,5,5,,,0.0,,,,,15,Feuil1
2021,أولاد حفوز,,250,11,5,,,5.0,6.0,,,,277,Feuil1
2021,بئر الحفي,,400,0,140,,,11.0,,,,,551,Feuil1
2021,منزل بوزيان,,30,15,118,,,60.0,40.0,,,,263,Feuil1
2021,السوق الجديد,,385,4,0,,,,,,,,389,Feuil1
2021,الجملة,0.0,2000,1095,623,0.0,0.0,147.0,91.0,0.0,0.0,0.0,3956,Feuil1
2022,بوزيد الغربية,,150,0,500,,,30.0,10.0,,,,690,Feuil1
2022,بوزيد الشرقية,,100,0,0,,,0.0,0.0,,,,100,Feuil1
2022,المكناسي,,0,300,0,,,0.0,0.0,,,,300,Feuil1
2022,الرقاب,,25,600,20,,,30.0,20.0,,,,695,Feuil1
2022,السعيدة,,0,0,0,,,0.0,0.0,,,,0,Feuil1
2022,جلمة,,130,15,70,,,0.0,0.0,,,,215,Feuil1
2022,بن عون,,0,0,0,,,0.0,0.0,,,,0,Feuil1
2022,المزونة,,0,142,40,,,13.0,17.0,,,,212,Feuil1
2022,السبالة,,0,5,10,,,0.0,0.0,,,,15,Feuil1
2022,أولاد حفوز,,270,0,0,,,0.0,0.0,,,,270,Feuil1
2022,بئر الحفي,,180,7,0,,,12.0,0.0,,,,199,Feuil1
2022,منزل بوزيان,,25,5,150,,,120.0,80.0,,,,380,Feuil1
2022,السوق الجديد,,90,6,0,,,,,,,,96,Feuil1
2022,الجملة,0.0,970,1080,790,0.0,0.0,205.0,127.0,0.0,0.0,0.0,3172,Feuil1
