annee,delegation,superficie_de_reboisement_forestier_ha,pare_feu_et_pistes_forestieres_km,feuille
2023,باجة الشمالية,,71.5,Feuil1
2023,باجة الجنوبية,76.0,141.0,Feuil1
2023,مجاز الباب,,42.0,Feuil1
2023,قبلاط,,4.0,Feuil1
2023,تستور,5.0,32.5,Feuil1
2023,تبرسق,,40.2,Feuil1
2023,تيبار,,20.0,Feuil1
2023,عمدون,35.5,80.5,Feuil1
2023,نفزة,58.8,161.76,Feuil1
2023,كامل الولاية,175.3,593.46,Feuil1
2024,باجة الشمالية,10.0,24.7,Feuil1
2024,باجة الجنوبية,26.5,49.4,Feuil1
2024,مجاز الباب,2.0,11.0,Feuil1
2024,قبلاط,,0.0,Feuil1
2024,تستور,5.0,1.0,Feuil1
2024,تبرسق,,27.3,Feuil1
2024,تيبار,,19.3,Feuil1
2024,عمدون,18.0,0.0,Feuil1
2024,نفزة,54.8,148.1,Feuil1
2024,كامل الولاية,116.3,280.79999999999995,Feuil1
