annee,gouvernorat,quantite,feuille
1980,Gafsa,,1000 tonnes
1980,Gabès,,1000 tonnes
1980,Tozeur,22.3,1000 tonnes
1980,Kébili,23.8,1000 tonnes
1981,Gafsa,,1000 tonnes
1981,Gabès,6.4,1000 tonnes
1981,Tozeur,28.0,1000 tonnes
1981,Kébili,23.2,1000 tonnes
1982,Gafsa,,1000 tonnes
1982,Gabès,6.4,1000 tonnes
1982,Tozeur,28.0,1000 tonnes
1982,Kébili,23.2,1000 tonnes
1983,Gafsa,,1000 tonnes
1983,Gabès,12.2,1000 tonnes
1983,Tozeur,29.0,1000 tonnes
1983,Kébili,24.6,1000 tonnes
1984,Gafsa,,1000 tonnes
1984,Gabès,12.5,1000 tonnes
1984,Tozeur,27.4,1000 tonnes
1984,Kébili,20.9,1000 tonnes
1985,Gafsa,,1000 tonnes
1985,Gabès,14.0,1000 tonnes
1985,Tozeur,32.0,1000 tonnes
1985,Kébili,28.0,1000 tonnes
1986,Gabès,5.5,1000 tonnes
1986,Tozeur,26.1,1000 tonnes
1986,Kébili,30.0,1000 tonnes
1986,Gafsa,,1000 tonnes
1987,Gabès,5.3,1000 tonnes
1987,Tozeur,26.8,1000 tonnes
1987,Kébili,38.4,1000 tonnes
1987,Gafsa,,1000 tonnes
1988,Gabès,8.0,1000 tonnes
1988,Tozeur,32.5,1000 tonnes
1988,Kébili,44.0,1000 tonnes
1988,Gafsa,,1000 tonnes
1989,Gabès,,1000 tonnes
1989,Tozeur,,1000 tonnes
1989,Kébili,,1000 tonnes
1989,Gafsa,,1000 tonnes
1990,Gabès,,1000 tonnes
1990,Tozeur,,1000 tonnes
1990,Kébili,,1000 tonnes
1990,Gafsa,,1000 tonnes
1991,Gabès,14.5,1000 tonnes
1991,Tozeur,30.0,1000 tonnes
1991,Kébili,44.0,1000 tonnes
1992,Gafsa,,1000 tonnes
1992,Gabès,13.2,1000 tonnes
1992,Tozeur,29.0,1000 tonnes
1992,Kébili,38.0,1000 tonnes
1993,Gafsa,,1000 tonnes
1993,Gabès,13.0,1000 tonnes
1993,Tozeur,28.5,1000 tonnes
1993,Kébili,34.0,1000 tonnes
1994,Gafsa,,1000 tonnes
1994,Gabès,13.5,1000 tonnes
1994,Tozeur,29.5,1000 tonnes
1994,Kébili,47.3,1000 tonnes
1995,Gafsa,,1000 tonnes
1995,Gabès,11.0,1000 tonnes
1995,Tozeur,28.0,1000 tonnes
1995,Kébili,37.5,1000 tonnes
1996,Gafsa,2.9,1000 tonnes
1996,Gabès,12.0,1000 tonnes
1996,Tozeur,30.1,1000 tonnes
1996,Kébili,44.5,1000 tonnes
1997,Gafsa,3.2,1000 tonnes
1997,Gabès,10.0,1000 tonnes
1997,Tozeur,26.0,1000 tonnes
1997,Kébili,40.3,1000 tonnes
1998,Gafsa,3.73,1000 tonnes
1998,Gabès,12.0,1000 tonnes
1998,Tozeur,29.0,1000 tonnes
1998,Kébili,56.74,1000 tonnes
1999,Gafsa,3.89,1000 tonnes
1999,Gabès,14.0,1000 tonnes
1999,Tozeur,34.5,1000 tonnes
1999,Kébili,57.37,1000 tonnes
2000,Gafsa,5.0,1000 tonnes
2000,Gabès,16.0,1000 tonnes
2000,Tozeur,35.5,1000 tonnes
2000,Kébili,58.0,1000 tonnes
2001,Gafsa,4.9,1000 tonnes
2001,Gabès,17.0,1000 tonnes
2001,Tozeur,36.0,1000 tonnes
2001,Kébili,54.71,1000 tonnes
2002,Gafsa,4.81,1000 tonnes
2002,Gabès,18.0,1000 tonnes
2002,Tozeur,37.0,1000 tonnes
2002,Kébili,61.0,1000 tonnes
2003,Gafsa,4.92,1000 tonnes
2003,Gabès,17.5,1000 tonnes
2003,Tozeur,36.5,1000 tonnes
2003,Kébili,58.05,1000 tonnes
2004,Gafsa,4.92,1000 tonnes
2004,Gabès,20.0,1000 tonnes
2004,Tozeur,38.0,1000 tonnes
2004,Kébili,65.03,1000 tonnes
2005,Gafsa,5.42,1000 tonnes
2005,Gabès,21.0,1000 tonnes
2005,Tozeur,33.6,1000 tonnes
2005,Kébili,58.0,1000 tonnes
2006,Gafsa,6.32,1000 tonnes
2006,Gabès,20.0,1000 tonnes
2006,Tozeur,38.0,1000 tonnes
2006,Kébili,69.0,1000 tonnes
2007,Gafsa,6.12,1000 tonnes
2007,Gabès,18.67,1000 tonnes
2007,Tozeur,32.75,1000 tonnes
2007,Kébili,67.29,1000 tonnes
2008,Gafsa,6.01,1000 tonnes
2008,Gabès,21.1,1000 tonnes
2008,Tozeur,38.5,1000 tonnes
2008,Kébili,78.0,1000 tonnes
2009,Gafsa,7.07,1000 tonnes
2009,Gabès,21.68,1000 tonnes
2009,Tozeur,41.0,1000 tonnes
2009,Kébili,91.0,1000 tonnes
2010,Gafsa,6.68,1000 tonnes
2010,Gabès,25.85,1000 tonnes
2010,Tozeur,44.0,1000 tonnes
2010,Kébili,97.0,1000 tonnes
2011,Gafsa,7.0,1000 tonnes
2011,Gabès,26.04,1000 tonnes
2011,Tozeur,44.5,1000 tonnes
2011,Kébili,112.0,1000 tonnes
2012,Gafsa,7.63,1000 tonnes
2012,Gabès,26.08,1000 tonnes
2012,Tozeur,42.5,1000 tonnes
2012,Kébili,115.0,1000 tonnes
2013,Gafsa,7.16,1000 tonnes
2013,Gabès,27.85,1000 tonnes
2013,Tozeur,47.5,1000 tonnes
2013,Kébili,114.0,1000 tonnes
2014,Gafsa,7.88,1000 tonnes
2014,Gabès,25.3,1000 tonnes
2014,Tozeur,51.85,1000 tonnes
2014,Kébili,135.0,1000 tonnes
2015,Gafsa,6.95,1000 tonnes
2015,Gabès,30.23,1000 tonnes
2015,Tozeur,51.09,1000 tonnes
2015,Kébili,150.0,1000 tonnes
2016,Gafsa,9.03,1000 tonnes
2016,Gabès,27.1,1000 tonnes
2016,Tozeur,48.5,1000 tonnes
2016,Kébili,159.99,1000 tonnes
2017,Gafsa,9.3,1000 tonnes
2017,Gabès,27.9,1000 tonnes
2017,Tozeur,58.24,1000 tonnes
2017,Kébili,200.0,1000 tonnes
2018,Gafsa,9.309,1000 tonnes
2018,Gabès,19.342,1000 tonnes
2018,Tozeur,50.504,1000 tonnes
2018,Kébili,194.0,1000 tonnes
2019,Gafsa,9.038,1000 tonnes
2019,Gabès,22.75,1000 tonnes
2019,Tozeur,56.069,1000 tonnes
2019,Kébili,240.0,1000 tonnes
2020,Gafsa,11.5,1000 tonnes
2020,Gabès,30.0,1000 tonnes
2020,Tozeur,66.0,1000 tonnes
2020,Kébili,224.0,1000 tonnes
2021,Gafsa,11.7,1000 tonnes
2021,Gabès,25.0,1000 tonnes
2021,Tozeur,57.9,1000 tonnes
2021,Kébili,250.0,1000 tonnes
2022,Gafsa,11.7,1000 tonnes
2022,Gabès,25.0,1000 tonnes
2022,Tozeur,66.662,1000 tonnes
2022,Kébili,265.0,1000 tonnes
2023,Gafsa,12.0,1000 tonnes
2023,Gabès,22.0,1000 tonnes
2023,Tozeur,56.459999999999994,1000 tonnes
2023,Kébili,250.0,1000 tonnes
2024,Gafsa,12.5,1000 tonnes
2024,Gabès,22.0,1000 tonnes
2024,Tozeur,69.17,1000 tonnes
2024,Kébili,285.0,1000 tonnes
2025,Gafsa,15.0,1000 tonnes
2025,Gabès,20.0,1000 tonnes
2025,Tozeur,62.29,1000 tonnes
2025,Kébili,250.237,1000 tonnes
