date,gouvernorat,production,feuille
1980,Gafsa,,Feuil2
1980,Gabès,,Feuil2
1980,Tozeur,22.3,Feuil2
1980,Kébili,23.8,Feuil2
1981,Gafsa,,Feuil2
1981,Gabès,6.4,Feuil2
1981,Tozeur,28.0,Feuil2
1981,Kébili,23.2,Feuil2
1982,Gafsa,,Feuil2
1982,Gabès,12.2,Feuil2
1982,Tozeur,29.0,Feuil2
1982,Kébili,24.6,Feuil2
1983,Gafsa,,Feuil2
1983,Gabès,12.5,Feuil2
1983,Tozeur,27.4,Feuil2
1983,Kébili,20.9,Feuil2
1984,Gafsa,,Feuil2
1984,Gabès,14.0,Feuil2
1984,Tozeur,32.0,Feuil2
1984,Kébili,28.0,Feuil2
1985,Gafsa,,Feuil2
1985,Gabès,5.5,Feuil2
1985,Tozeur,26.1,Feuil2
1985,Kébili,30.0,Feuil2
1986,Gafsa,,Feuil2
1986,Gabès,5.3,Feuil2
1986,Tozeur,26.8,Feuil2
1986,Kébili,38.4,Feuil2
1987,Gafsa,,Feuil2
1987,Gabès,8.0,Feuil2
1987,Tozeur,32.5,Feuil2
1987,Kébili,44.0,Feuil2
1988,Gafsa,,Feuil2
1988,Gabès,,Feuil2
1988,Tozeur,,Feuil2
1988,Kébili,,Feuil2
1989,Gafsa,,Feuil2
1989,Gabès,,Feuil2
1989,Tozeur,,Feuil2
1989,Kébili,,Feuil2
1990,Gafsa,,Feuil2
1990,Gabès,14.5,Feuil2
1990,Tozeur,30.0,Feuil2
1990,Kébili,44.0,Feuil2
1991,Gafsa,,Feuil2
1991,Gabès,13.2,Feuil2
1991,Tozeur,29.0,Feuil2
1991,Kébili,38.0,Feuil2
1992,Gafsa,,Feuil2
1992,Gabès,13.0,Feuil2
1992,Tozeur,28.5,Feuil2
1992,Kébili,34.0,Feuil2
1993,Gafsa,,Feuil2
1993,Gabès,13.5,Feuil2
1993,Tozeur,29.5,Feuil2
1993,Kébili,47.3,Feuil2
1994,Gafsa,,Feuil2
1994,Gabès,11.0,Feuil2
1994,Tozeur,28.0,Feuil2
1994,Kébili,37.5,Feuil2
1995,Gafsa,2.9,Feuil2
1995,Gabès,12.0,Feuil2
1995,Tozeur,30.1,Feuil2
1995,Kébili,44.5,Feuil2
1996,Gafsa,3.2,Feuil2
1996,Gabès,10.0,Feuil2
1996,Tozeur,26.0,Feuil2
1996,Kébili,40.3,Feuil2
1997,Gafsa,3.73,Feuil2
1997,Gabès,12.0,Feuil2
1997,Tozeur,29.0,Feuil2
1997,Kébili,56.74,Feuil2
1998,Gafsa,3.89,Feuil2
1998,Gabès,14.0,Feuil2
1998,Tozeur,34.5,Feuil2
1998,Kébili,57.37,Feuil2
1999,Gafsa,3.86,Feuil2
1999,Gabès,14.5,Feuil2
1999,Tozeur,35.0,Feuil2
1999,Kébili,65.48,Feuil2
2000,Gafsa,5.0,Feuil2
2000,Gabès,16.0,Feuil2
2000,Tozeur,35.5,Feuil2
2000,Kébili,58.0,Feuil2
2001,Gafsa,4.9,Feuil2
2001,Gabès,17.0,Feuil2
2001,Tozeur,36.0,Feuil2
2001,Kébili,54.71,Feuil2
2002,Gafsa,4.81,Feuil2
2002,Gabès,18.0,Feuil2
2002,Tozeur,37.0,Feuil2
2002,Kébili,61.0,Feuil2
2003,Gafsa,4.92,Feuil2
2003,Gabès,17.5,Feuil2
2003,Tozeur,36.5,Feuil2
2003,Kébili,58.05,Feuil2
2004,Gafsa,4.92,Feuil2
2004,Gabès,20.0,Feuil2
2004,Tozeur,38.0,Feuil2
2004,Kébili,65.03,Feuil2
2005,Gafsa,5.42,Feuil2
2005,Gabès,21.0,Feuil2
2005,Tozeur,33.6,Feuil2
2005,Kébili,58.0,Feuil2
2006,Gafsa,6.32,Feuil2
2006,Gabès,20.0,Feuil2
2006,Tozeur,38.0,Feuil2
2006,Kébili,69.0,Feuil2
2007,Gafsa,6.12,Feuil2
2007,Gabès,18.67,Feuil2
2007,Tozeur,32.75,Feuil2
2007,Kébili,67.29,Feuil2
2008,Gafsa,6.01,Feuil2
2008,Gabès,21.1,Feuil2
2008,Tozeur,38.5,Feuil2
2008,Kébili,78.0,Feuil2
2009,Gafsa,7.07,Feuil2
2009,Gabès,21.68,Feuil2
2009,Tozeur,41.0,Feuil2
2009,Kébili,91.0,Feuil2
2010,Gafsa,6.68,Feuil2
2010,Gabès,25.85,Feuil2
2010,Tozeur,44.0,Feuil2
2010,Kébili,97.0,Feuil2
2011,Gafsa,7.0,Feuil2
2011,Gabès,26.04,Feuil2
2011,Tozeur,44.5,Feuil2
2011,Kébili,112.0,Feuil2
2012,Gafsa,7.63,Feuil2
2012,Gabès,26.08,Feuil2
2012,Tozeur,42.5,Feuil2
2012,Kébili,115.0,Feuil2
2013,Gafsa,7.16,Feuil2
2013,Gabès,27.85,Feuil2
2013,Tozeur,47.5,Feuil2
2013,Kébili,114.0,Feuil2
2014,Gafsa,7.88,Feuil2
2014,Gabès,25.3,Feuil2
2014,Tozeur,51.85,Feuil2
2014,Kébili,135.0,Feuil2
2015,Gafsa,6.95,Feuil2
2015,Gabès,30.23,Feuil2
2015,Tozeur,51.09,Feuil2
2015,Kébili,150.0,Feuil2
2016,Gafsa,9.03,Feuil2
2016,Gabès,27.1,Feuil2
2016,Tozeur,48.5,Feuil2
2016,Kébili,159.99,Feuil2
2017,Gafsa,9.3,Feuil2
2017,Gabès,27.9,Feuil2
2017,Tozeur,58.24,Feuil2
2017,Kébili,200.0,Feuil2
