annee,delegation,lait_mille_litre,viande_blanche_tonne,viandes_rouges_tonnes,feuille
2022,NABEUL,,2205,250,Feuil1
2022,DAR CHAABANE EL FEHRI,,1604,430,Feuil1
2022,BENI KHIAR,2500.0,22089,950,Feuil1
2022,KORBA,6000.0,14800,650,Feuil1
2022,MENZEL TEMIME,25000.0,1967,850,Feuil1
2022,EL MIDA,9600.0,1867,400,Feuil1
2022,KELIBIA,8500.0,1472,550,Feuil1
2022,HAMMAM EL GUEZAZ,6800.0,2000,700,Feuil1
2022,EL HAOUARIA,12000.0,10500,280,Feuil1
2022,TAKILSA,,2580,600,Feuil1
2022,SOLIMAN,5000.0,5986,700,Feuil1
2022,MENZEL BOUZELFA,7000.0,1829,950,Feuil1
2022,BENI KHALLED,4500.0,1843,900,Feuil1
2022,GROMBALIA,5300.0,3884,1100,Feuil1
2022,BOUARGOUB,2800.0,1527,450,Feuil1
2022,HAMMAMET,,1847,490,Feuil1
2023,NABEUL,500.0,3200,324,Feuil1
2023,DAR CHAABANE EL FEHRI,1500.0,2146,284,Feuil1
2023,BENI KHIAR,1800.0,23000,860,Feuil1
2023,KORBA,4500.0,15000,1350,Feuil1
2023,MENZEL TEMIME,25000.0,1990,1187,Feuil1
2023,EL MIDA,13700.0,1880,737,Feuil1
2023,KELIBIA,6200.0,1480,633,Feuil1
2023,HAMMAM EL GUEZAZ,3000.0,2227,583,Feuil1
2023,EL HAOUARIA,10000.0,12000,1178,Feuil1
2023,TAKILSA,1000.0,4000,415,Feuil1
2023,SOLIMAN,4700.0,8000,256,Feuil1
2023,MENZEL BOUZELFA,5200.0,1850,390,Feuil1
2023,BENI KHALLED,5300.0,1850,290,Feuil1
2023,GROMBALIA,3800.0,3000,417,Feuil1
2023,BOUARGOUB,3500.0,1537,387,Feuil1
2023,HAMMAMET,300.0,1840,399,Feuil1
2024,NABEUL,600.0,3000,320,Feuil1
2024,DAR CHAABANE EL FEHRI,2000.0,2000,280,Feuil1
2024,BENI KHIAR,2000.0,22550,850,Feuil1
2024,KORBA,4600.0,14700,1401,Feuil1
2024,MENZEL TEMIME,26500.0,1800,1250,Feuil1
2024,EL MIDA,13900.0,1700,740,Feuil1
2024,KELIBIA,6400.0,1300,630,Feuil1
2024,HAMMAM EL GUEZAZ,2900.0,2000,580,Feuil1
2024,EL HAOUARIA,12000.0,11400,1190,Feuil1
2024,TAKILSA,1000.0,3800,400,Feuil1
2024,SOLIMAN,4600.0,7700,260,Feuil1
2024,MENZEL BOUZELFA,5300.0,1700,400,Feuil1
2024,BENI KHALLED,5400.0,1750,285,Feuil1
2024,GROMBALIA,3800.0,2500,400,Feuil1
2024,BOUARGOUB,3700.0,1500,380,Feuil1
2024,HAMMAMET,300.0,1600,389,Feuil1
