composante,date,datemin,prix,prixmin,prixmax,feuille
Filets moustiquaire pour dattes,2021-09-23,2021-09-23,0.935,,,Feuil1
Plastiques de protection pour dattes,2021-09-23,2021-09-23,5.3,,,Feuil1
Fil de fer,2021-09-23,2021-09-23,3.6,,,Feuil1
Paillage plastique  produit localement,2021-09-23,2021-09-23,7.0,,,Feuil1
Paillage plastique  importé,2021-09-23,2021-09-23,11.8,,,Feuil1
Paillage plastique  produit localement,2021-12-13,2021-09-23,6.5,9.0,,Feuil1
Paillage plastique  importé,2021-12-13,2021-09-23,8.0,11.0,,Feuil1
Fil de fer1,2021-12-13,2021-12-13,4.0,4.6,,Feuil1
Fil de fer,2022-05-09,2021-09-23,,4.7,4.8,Feuil1
Filets moustiquaire pour dattes,2022-07-22,2021-09-23,0.99,,,Feuil1
Plastiques de protection pour dattes,2022-07-22,2021-09-23,6.65,,,Feuil1
