composante,frequence_ar,frequence,source_ar,source,unite_ar,unite,composante_ar,images,feuille
Filets moustiquaire pour dattes,شهريا,MENSUELLE,المجمع المهني للغلال,GIFruit,دينار/القطعة,TND/piéce,الناموسية  ( مدعمة),https://drive.google.com/file/d/1zqQsQGtLDCJDLZldadRrVUFK3GMlo7lK/view?usp=sharing,Feuil1
Plastiques de protection pour dattes,شهريا,MENSUELLE,المجمع المهني للغلال,GIFruit,دينار/كلغ,TND/kg,بلاستيك لتغليف العراجن ( مدعم),https://drive.google.com/file/d/1SR5jZBdyFrrpIIVtePCzKoi64fHDE3c1/view?usp=sharing,Feuil1
Fil de fer,شهريا,MENSUELLE,التعاضدية المركزية للحبوب,COCEBLE,دينار/كلغ,TND/kg,حديد للربط,https://drive.google.com/file/d/1MNQN9xTrtF4xMPdH0oUq7s3BENy1q4lU/view?usp=sharing,Feuil1
Paillage plastique  produit localement,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بنابل,CRDA Nabeul,دينار/كلغ,TND/kg,نشارة بلاستيكية لمقاومة الاعشاب الطفيلية  انتاج محلي,https://drive.google.com/file/d/1vbKJp6oGXgpoy3SY_B9uHQOFeGyoDMg9/view?usp=sharing,Feuil1
Paillage plastique  importé,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بنابل,CRDA Nabeul,دينار/كلغ,TND/kg,نشارة بلاستيكية لمقاومة الاعشاب الطفيلية  موردة,https://drive.google.com/file/d/1vFUKmcLjDbT_j17AZ8IFmoVUDFr2UsCk/view?usp=sharing,Feuil1
Fil de fer1,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بنابل,CRDA Nabeul,دينار/كلغ,TND/kg,حديد للربط,,Feuil1
