المعتمديـــة,عدد_البحيرات_2018,عدد_البحيرات_2019,عدد_البحيرات_2020,طاقة_الخزن_الف_م3_2018,طاقة_الخزن_الف_م3_2019,طاقة_الخزن_الف_م3_2020,الكمية_المعبية_الف_م3_2018,الكمية_المعبية_الف_م3_2019,الكمية_المعبية_الف_م3_2020,feuille
عقارب,9,9,9,966,960,695,0,95,260,البحيرات 1
الصخيرة,2,2,2,100,100,80,0,0,20,البحيرات 1
الحنشة,1,1,1,110,110,60,0,20,30,البحيرات 1
صفاقس الغربية,1,1,1,200,200,170,0,0,40,البحيرات 1
صفاقس الجنوبية,1,1,1,120,120,50,0,10,30,البحيرات 1
بئر علي بن خليفة,4,4,4,1100,1100,880,0,55,290,البحيرات 1
المحرس,1,1,1,180,180,140,0,15,50,البحيرات 1
منزل شاكر,1,1,1,150,70,75,100,20,40,البحيرات 1
المجمـــــــوع,20,20,20,2926,2840,2150,100,215,760,البحيرات 1
