الموارد,الموارد_القابلة_للتعبية_م_م3_السنة,كمية_الموارد_المستغلة_م_م3,نسبة_الموارد_المستغلة,عدد_المنشات,feuille
مجموع مياه السيلان,110.0,47.0,42.73,39 بحيرة جبلية و1250 منشأة فرش وتغذية وحماية وإصلاح مجاري الأودية,Feuil1
المياه الجوفية : المائدة السطحية,62.0,93.76,151.23,13024 بئر سطحية منها 11668 مجهزة,Feuil1
المياه الجوفية : المائدة العميقة,91.4,129.68,141.88,2252 بئر عميقة منها 1865 مستغلة,Feuil1
مجموع المياه الجوفية,153.4,223.44,145.66,11668 بئر سطحية و1865 بئر عميقة مستغلة,Feuil1
المجموع,263.4,270.44,188.39,المجموع,Feuil1
