annee,huile_olive_biologique_produite_tonne,feuille
2011,5000,Feuil1
2012,2500,Feuil1
2013,5000,Feuil1
2014,12000,Feuil1
2015,2500,Feuil1
2016,2500,Feuil1
2017,9000,Feuil1
2018,500,Feuil1
2019,3000,Feuil1
2020,2100,Feuil1
2021,3600,Feuil1
2022,2200,Feuil1
2023,700,Feuil1
2024,2100,Feuil1
