annee,activites,unite,programme,realisation,nombre_participant,theme_activite,feuille
2024.0,أيام إعلامية,يوم,86.0,61.0,855,أشجار مثمرة (تين شوكي)-الخضروات الحقلية و المحمية-زراعات كبرى (حبوب، الاعلاف)-تربية الماشية (أبقار، أغنام، حيوانات مرفقة) -الزياتين -الهندسة الريفية (الاقتصاد في مياه الري- المناطق السقوية) -هياكل الدعم -  المراعي والغابات - الفلاحة البيولوجية,Feuil1
,,,,,,,Feuil1
,حصص تطبيقية,حصة,41.0,16.0,104,,Feuil1
,أنشطة إرشادية فردية (تدخلات على الضيعة),عدد,7467.0,10049.0,_,,Feuil1
,زيارات ميدانية,زيارة,3.0,1.0,10,,Feuil1
,قطع تدعيمية,قطعة,18.0,1.0,_,,Feuil1
