filiere,theme,date,lieu,nombre_de_participants_hommes,nombre_de_participants_femmes,feuille
الدواجن البيولوجية,دورة تكوينية حول إنتاج الدجاج وفق النمط البيولوجي,23و24 مارس 2021,المركز القطاعي للتكوين المهني الفلاحي ببوغرارة,4,7,Feuil1
النحل البيولوجي,دورة تكوينية حول تربية النحل وفق النمط البيولوجي,23و24 جوان 2021,معهد الزيتونة,34,10,Feuil1
الزياتين البيولوجية,دورة تكوينية حول جودة زيت الزيتون البيولوجي وتقنيات تسويقه,12و13 أكتوبر2021,معهد الزيتونة,26,28,Feuil1
اللحوم الحمراء البيولوجية,دورة تكوينية حول تربية الأغنام على النمط البيولوجي,15و16 ديسمبر2021,المركز القطاعي للتكوين المهني الفلاحي ببوغرارة,21,6,Feuil1
