annee,delegation,nombre_de_groupements_de_developpement,nombre_dadherents_aux_goupements_de_developpement,nombre_de_groupements_qui_gerent_leau,feuille
2024,قفصة الشمالية,4.0,119.0,26,Feuil1
2024,قفصة الجنوبية,3.0,62.0,27,Feuil1
2024,القصر,1.0,37.0,9,Feuil1
2024,سيدي عيش,1.0,51.0,28,Feuil1
2024,السند,5.0,289.0,22,Feuil1
2024,زانوش,1.0,17.0,19,Feuil1
2024,بلخير,3.0,69.0,22,Feuil1
2024,الرديف,2.0,134.0,14,Feuil1
2024,المتلوي,,,7,Feuil1
2024,أم العرائس,,,26,Feuil1
2024,سيدي بوبكر,1.0,20.0,8,Feuil1
2024,القطار,2.0,34.0,11,Feuil1
2024,المظيلة,,,1,Feuil1
2024,كامل الولاية,23.0,832.0,220,Feuil1
