معدل_المخطط_الخماسي_السابق,حاصل_الاشهر_السابقة_سنة_2018,الانجاز_الشهري_سنة_2018,الحاصل_الحالي_سنة_2018,الهدف,الوحدة,النسبة_المايوية,موشرات_تقدم_قطاع_الصحة_الحيوانية,feuille
,,,,,,,مؤشرات تقدم قطاع الصحة الحيوانية,Feuil1
180000.0,,,0.0,280000.0,رأس,0.0,قطيع الأغنام,Feuil1
50000.0,,,0.0,70000.0,رأس,0.0,قطيع الماعز,Feuil1
15000.0,,,0.0,13500.0,رأس,0.0,قطيع الأبقار,Feuil1
,,,,,,,مكافحة الأمراض العابرة للحدود,Feuil1
170000.0,10312.0,2347.0,12659.0,20000.0,رأس,0.63,مكافحة مرض اللسان الأزرق,Feuil1
190000.0,202256.0,14645.0,216901.0,280000.0,رأس,0.77,مكافحة مرض جدري الأغنام,Feuil1
175000.0,352964.0,6492.0,359456.0,350000.0,رأس,1.027,مكافحة مرض الحمى القلاعية عند الأغنام والماعز,Feuil1
10000.0,9653.0,605.0,10258.0,12500.0,رأس,0.82,مكافحة مرض الحمى القلاعية عند الأبقار,Feuil1
,,,,,,,مكافحة الأمراض المشتركة,Feuil1
2.0,0.0,0.0,0.0,0.0,عدد,,بؤر داء الكلب المسجلة,Feuil1
5800.0,3922.0,1170.0,5092.0,10000.0,عدد,0.51,مكافحة داء الكلب,Feuil1
160000.0,10839.0,0.0,23784.0,230000.0,رأس,0.1,التلاقيح ضد الحمى المالطية,Feuil1
4000.0,0.0,0.0,0.0,9500.0,رأس,0.0,التلاقيح ضد الاجهاض المعدي,Feuil1
100.0,100.0,0.0,,100.0,عينة,,أخذ العينات من المنشآت للتوقي من مرض أنفلونزا الطيور,Feuil1
,,,,,,,مراقبة منتجات من أصل حيواني,Feuil1
8.0,,0.0,0.0,30.0,عدد,0.0,البحث عن الرواسب,Feuil1
,,0.0,0.0,,عدد,,تحاليل مراقبة منتجات الصيد البحري والقوقعيات في اطار المراقبة الرسمية,Feuil1
,,,,,,,التزود بالموااد العلفية,Feuil1
29000.0,11487.0,2820.0,14307.0,36000.0,طن,0.397,التزويد بمادة السداري (*),Feuil1
180000.0,76844.0,19334.0,96178.0,250000.0,ق,0.385,التزويد بالشعير العلفي,Feuil1
0.0,0.0,0.0,0.0,3000.0,ق,0.0,التزويد بقوالب الفصة,Feuil1
