annee,secteur_industriel,consommation_eau_potable_m3_par_an_par_abonne,feuille
2002,industrie Intérieur Tunisie,2422.8143901068015,Feuil1
2002,industrie Grand Tunis,3237.1306646525672,Feuil1
2002,industrie Ensemble Tunisie,2609.6210690461753,Feuil1
2003,industrie Intérieur Tunisie,2344.354130052724,Feuil1
2003,industrie Grand Tunis,3069.2249811888632,Feuil1
2003,industrie Ensemble Tunisie,2508.161877231763,Feuil1
2004,industrie Intérieur Tunisie,2376.816878637637,Feuil1
2004,industrie Grand Tunis,3443.043285238624,Feuil1
2004,industrie Ensemble Tunisie,2617.365244971204,Feuil1
2005,industrie Intérieur Tunisie,2323.282945736434,Feuil1
2005,industrie Grand Tunis,2907.04375231739,Feuil1
2005,industrie Ensemble Tunisie,2451.879114596096,Feuil1
2006,industrie Intérieur Tunisie,2325.843521286465,Feuil1
2006,industrie Grand Tunis,2931.1971428571424,Feuil1
2006,industrie Ensemble Tunisie,2461.431885449164,Feuil1
2007,industrie Intérieur Tunisie,2292.137487537388,Feuil1
2007,industrie Grand Tunis,2569.6540707660592,Feuil1
2007,industrie Ensemble Tunisie,2354.5631713159723,Feuil1
2008,industrie Intérieur Tunisie,2134.2649355720423,Feuil1
2008,industrie Grand Tunis,2512.9277427908523,Feuil1
2008,industrie Ensemble Tunisie,2220.414222155192,Feuil1
2009,industrie Intérieur Tunisie,2209.409479857706,Feuil1
2009,industrie Grand Tunis,2238.7904670505436,Feuil1
2009,industrie Ensemble Tunisie,2216.1992311672952,Feuil1
2010,industrie Intérieur Tunisie,2337.961925354893,Feuil1
2010,industrie Grand Tunis,2433.464533655297,Feuil1
2010,industrie Ensemble Tunisie,2360.6429390681,Feuil1
2011,industrie Intérieur Tunisie,1917.3194043741275,Feuil1
2011,industrie Grand Tunis,2484.412459403602,Feuil1
2011,industrie Ensemble Tunisie,2053.2339371638836,Feuil1
2012,industrie Intérieur Tunisie,2139.0986696230593,Feuil1
2012,industrie Grand Tunis,2513.778974956319,Feuil1
2012,industrie Ensemble Tunisie,2229.339388413522,Feuil1
2013,industrie Intérieur Tunisie,2175.3383792603336,Feuil1
2013,industrie Grand Tunis,2419.9308649117734,Feuil1
2013,industrie Ensemble Tunisie,2233.6968734902343,Feuil1
2014,industrie Intérieur Tunisie,2083.8990397559005,Feuil1
2014,industrie Grand Tunis,2458.951773049645,Feuil1
2014,industrie Ensemble Tunisie,2174.031360785383,Feuil1
2015,industrie Intérieur Tunisie,1803.1107555555554,Feuil1
2015,industrie Grand Tunis,2232.7487977369165,Feuil1
2015,industrie Ensemble Tunisie,1905.8344944200203,Feuil1
2016,industrie Intérieur Tunisie,1604.0297292514597,Feuil1
2016,industrie Grand Tunis,2286.804065499718,Feuil1
2016,industrie Ensemble Tunisie,1766.949878738884,Feuil1
2017,industrie Intérieur Tunisie,1559.0309314586991,Feuil1
2017,industrie Grand Tunis,2287.3912310286682,Feuil1
2017,industrie Ensemble Tunisie,1732.51506225733,Feuil1
2018,industrie Intérieur Tunisie,1336.0279028697573,Feuil1
2018,industrie Grand Tunis,2135.615001464987,Feuil1
2018,industrie Ensemble Tunisie,1521.1948704030397,Feuil1
2019,industrie Intérieur Tunisie,1345.0,Feuil1
2019,industrie Grand Tunis,2003.0,Feuil1
2019,industrie Ensemble Tunisie,1499.0,Feuil1
2020,industrie Intérieur Tunisie,1277.253231804498,Feuil1
2020,industrie Grand Tunis,1924.6028144744403,Feuil1
2020,industrie Ensemble Tunisie,1429.8027206280456,Feuil1
2021,industrie Intérieur Tunisie,1376.9211879432628,Feuil1
2021,industrie Grand Tunis,1999.590506148127,Feuil1
2021,industrie Ensemble Tunisie,1524.2768491574745,Feuil1
2022,industrie Intérieur Tunisie,1402.4502532561505,Feuil1
2022,industrie Grand Tunis,2036.0284951024043,Feuil1
2022,industrie Ensemble Tunisie,1550.4242634315424,Feuil1
2023,industrie Intérieur Tunisie,1296.9538737124947,Feuil1
2023,industrie Grand Tunis,1889.0034833091436,Feuil1
2023,industrie Ensemble Tunisie,1436.5576317590692,Feuil1
2024,industrie Intérieur Tunisie,1348.9087731875616,Feuil1
2024,industrie Grand Tunis,1918.4227312264425,Feuil1
2024,industrie Ensemble Tunisie,1483.3730147864185,Feuil1
