annee,ann_2007,ann_2008,ann_2009,ann_2010,ann_2011,ann_2012,ann_2013,ann_2014,ann_2015,ann_2016,ann_2017,ann_2018,feuille
Poulet de chair,245,280,288,276,269,356,388,412,430,398,396,401,product CC
Poule pondeuse,265,297,328,296,295,335,354,392,457,390,385,355,product CC
Reproducteurs poule,45,44,32,49,45,41,49,48,54,53,50,45,product CC
Dindons,131,134,138,225,206,223,223,239,231,219,226,236,product CC
Volaille traditionnelle,94,95,96,90,80,45,46,42,41,34,33,32,product CC
