annee,delegation,date_creation,nom_societe,superficie_ha,investissement_approuve_mille_dinars,investissement_realise_mille_dinars,nbre_emplois_approuves,nbre_emplois_realises,situation_actuelle_societe,feuille
2023,الكاف الشرقية,1997.0,الزعفرانة,,1150,2349.0,25.0,24.0,نسق الاستثمار والتشغيل جيد وفي انتظار تجديد العقد,Feuil1
2023,السرس,1993.0,المبروكة,902.63,1590,,,,,Feuil1
2023,السرس,2014.0,الفتح,1149.97,2352,936.0,11.0,14.0,نسق الاستثمار والتشغيل مقبول,Feuil1
2023,تاجروين,2014.0,النجاة,417.79,721,446.0,10.0,5.0,نسق الاستثمار والتشغيل متواضع,Feuil1
2023,الدهماني,2017.0,الامين,563.0,1581,1091.0,13.0,8.0,بداية جيدة,Feuil1
2023,الدهماني,2019.0,السلطاني,413.195,1400,914.0,7.0,0.0,نسق الإستثمار ضعيف نظرا للظروف المناخية,Feuil1
2023,ساقية سيدي يوسف,2022.0,,471.6,1500,,,,,Feuil1
2023,المجموع,,,3918.0,10294,5736.0,70.0,75.0,,Feuil1
2024,الكاف الشرقية,1997.0,الزعفرانة,,1150,1910.0,29.0,23.0,نسق الاستثمار والتشغيل جيد بالنظر لما هو متوفر من إمكانيات وموارد طبيعية بالضيعة.,Feuil1
2024,السرس,1993.0,المبروكة,902.63,1590,,,,,Feuil1
2024,السرس,2014.0,الفتح,1149.97,951,1668.0,13.0,11.0,نسق الاستثمار والتشغيل مقبول,Feuil1
2024,تاجروين,2014.0,النجاة,417.79,800,738.0,10.0,5.0,استغلال مرضي,Feuil1
2024,الدهماني,2017.0,الامين,563.0,1586,1123.0,11.0,11.0,الاستغلال جيد بالنظر لما هو متوفر من إمكانيات وموارد طبيعية بالضيعة.,Feuil1
2024,الدهماني,2019.0,السلطاني,413.195,1400,702.0,11.0,0.0,نسق الإستثمار ضعيف,Feuil1
2024,ساقية سيدي يوسف,2022.0,مزايا الشمال,471.6,1500,301.0,10.0,5.0,شركة حديثة التركيز,Feuil1
2024,المجموع,,,4333.1,8977,6442.0,84.0,55.0,,Feuil1
