numero_agrement,nom_etablissement_fr,delegation_fr,adresse_fr,etat,feuille
CCL0501,SDA CHEMS,bouficha,Bouficha - Sousse,valide,Feuil1
CCL0502,SMBSA Ennajeh,kalaa kebira,kalaa kebira - Sousse,valide,Feuil1
CCL0503,SMBSA Ettajdid,akouda,Akouda - Sousse,valide,Feuil1
CCL0504,SSA Elhoukoul,kalaa kebira,kalaa kebira - Sousse,valide,Feuil1
CCL0504,CCL BEN SOUISSI - oueriema,sidi bou ali,Oueriema - Sidi Bouali - Sousse,valide,Feuil1
CCL0505,SMBSA L'Horizon,kalaa kebira,Elgabou- kalaa kebira - Sousse,valide,Feuil1
