annee,mois,type_produit,prix_dachat,feuille
2022,janvier,ble-dur-import,1641.0,2018
2022,janvier,ble-tendre-import,1228.2594224308757,2018
2022,janvier,orge-import,1047.0,2018
2022,fevrier,ble-dur-import,2058.022240663287,2018
2022,fevrier,ble-tendre-import,1109.6447888029995,2018
2022,fevrier,orge-import,1072.3487898074409,2018
2022,mars,ble-dur-import,2115.6755476726275,2018
2022,mars,ble-tendre-import,1257.6188923796792,2018
2022,mars,orge-import,1062.2519999828082,2018
2022,avril,ble-dur-import,2005.6491045387468,2018
2022,avril,ble-tendre-import,1349.2155359996893,2018
2022,avril,orge-import,1319.7655959936446,2018
2022,mai,ble-dur-import,1981.9979999681698,2018
2022,mai,ble-tendre-import,1422.204557544668,2018
2022,mai,orge-import,1088.4936,2018
2022,juin,ble-dur-import,1945.0597644147158,2018
2022,juin,ble-tendre-import,1426.0936205036942,2018
2022,juin,orge-import,1293.4152117738495,2018
2022,juillet,ble-dur-import,0.0,2018
2022,juillet,ble-tendre-import,1426.0922799585417,2018
2022,juillet,orge-import,1320.8355826381528,2018
2022,aout,ble-dur-import,0.0,2018
2022,aout,ble-tendre-import,1423.9968152924785,2018
2022,aout,orge-import,1314.239157769697,2018
2022,septembre,ble-dur-import,0.0,2018
2022,septembre,ble-tendre-import,1361.151301149857,2018
2022,septembre,orge-import,1402.6400099999998,2018
2022,octobre,ble-dur-import,0.0,2018
2022,octobre,ble-tendre-import,1177.0630374479056,2018
2022,octobre,orge-import,1202.49,2018
2022,novembre,ble-dur-import,0.0,2018
2022,novembre,ble-tendre-import,1594.136086834527,2018
2022,novembre,orge-import,1124.8224970733393,2018
2022,decembre,ble-dur-import,1662.3967382138158,2018
2022,decembre,ble-tendre-import,1283.905721576135,2018
2022,decembre,orge-import,1133.4948814315965,2018
2023,janvier,ble-dur-import,1641.0,2018
2023,janvier,ble-tendre-import,1228.2594224308757,2018
2023,janvier,orge-import,1047.0,2018
2023,fevrier,ble-dur-import,1628.0,2018
2023,fevrier,ble-tendre-import,1190.4691588888888,2018
2023,fevrier,orge-import,1040.124600530864,2018
2023,mars,ble-dur-import,1550.0,2018
2023,mars,ble-tendre-import,1095.3680411286407,2018
2023,mars,orge-import,998.0,2018
2023,avril,ble-dur-import,1541.0,2018
2023,avril,ble-tendre-import,1025.0,2018
2023,avril,orge-import,927.0,2018
2023,mai,ble-dur-import,1573.0,2018
2023,mai,ble-tendre-import,994.0,2018
