type_de_cereale,janvier,fevrier,mars,avril,mai,juin,juillet,aout,septembre,octobre,novembre,decembre,feuille
ble-dur-import,920.0107720978009,933.6588804955853,951.3165146836006,977.2619098181817,951.1753608880232,0,0.0,0.0,0.0,889.3112909090909,861.668143821608,886.4275189365671,2019
ble-tendre-import,644.6160552555249,683.8554883806654,707.792234028028,672.6585299018868,665.4220154118725,,607.9766095224314,595.5561528093536,593.4213501676485,611.4053067343227,695.653099116238,744.6962652820831,2019
orge-import,592.15175,600.9286443630034,610.0856769984441,608.5910309153141,581.50626858492,576.6943856331261,519.5068102692549,539.1653622546772,554.1400170628204,570.9268414671815,600.2563626072085,640.631954905231,2019
