type_de_cereale,janvier,fevrier,mars,avril,mai,juin,juillet,aout,septembre,octobre,novembre,decembre,feuille
ble-dur-import,1000.7696971514519,1035.194503730843,1077.5119613689465,1077.4041132282464,1070.0206203850064,1081.0007314222223,,,,1098.7200745379878,1859.7946605846155,1904.7568992677986,2019
ble-tendre-import,756.3509077383177,775.5302818046771,860.7781322013099,883.2489436975933,823.6387101556103,842.1576001534527,777.5427509912126,809.7576072910448,861.3106098378379,989.2681618051733,1037.5663523274918,1059.3693883333335,2019
orge-import,634.7980996167054,660.9264494723404,737.9461749080548,792.8393759088273,791.4099649122808,773.0556886104431,786.4373266666666,757.9722541464981,839.6747978304877,915.1487809800191,914.5112889588855,949.6647948433654,2019
