mois,janvier,fevrier,mars,avril,mai,juin,juillet,aout,septembre,octobre,novembre,decembre,feuille
ble-dur,54.519,134.286,37.664,103.914,35.428,22.5,0.0,0.0,0.0,4.87,32.5,64.19,Feuil3
ble-tendre,160.5,65.297,125.498,51.401,61.05,39.1,130.0175,134.0,74.0,109.02,109.56,78.0,Feuil3
orge,25.046,117.5,101.419,134.514,79.8,25.778,52.5,102.677,78.543,105.1,103.37,53.213,Feuil3
