annee,culture,superficie_hectare,feuille
2024,oignon,41.0,Feuil1
2024,pomme_de_terre,128.0,Feuil1
2024,melon,40.0,Feuil1
2024,pasteque,65.0,Feuil1
2024,tomate,14.1,Feuil1
2024,concombre,38.0,Feuil1
2024,piment,105.05,Feuil1
2024,courge,30.4,Feuil1
2024,divers,10.0,Feuil1
2023,oignon,78.0,Feuil1
2023,pomme_de_terre,214.0,Feuil1
2023,melon,58.0,Feuil1
2023,pasteque,113.0,Feuil1
2023,tomate,30.0,Feuil1
2023,concombre,70.0,Feuil1
2023,piment,143.0,Feuil1
2023,courge,50.0,Feuil1
2023,divers,68.0,Feuil1
2022,oignon,58.0,Feuil1
2022,pomme_de_terre,226.75,Feuil1
2022,melon,89.0,Feuil1
2022,pasteque,194.0,Feuil1
2022,tomate,24.0,Feuil1
2022,concombre,63.0,Feuil1
2022,piment,109.0,Feuil1
2022,courge,50.0,Feuil1
2022,divers,50.25,Feuil1
2021,oignon,59.0,Feuil1
2021,pomme_de_terre,282.35,Feuil1
2021,melon,103.0,Feuil1
2021,pasteque,204.2,Feuil1
2021,tomate,36.05,Feuil1
2021,concombre,123.15,Feuil1
2021,piment,167.91,Feuil1
2021,courge,103.89999999999999,Feuil1
2021,divers,227.22,Feuil1
2020,oignon,100.0,Feuil1
2020,pomme_de_terre,315.2,Feuil1
2020,melon,94.94999999999999,Feuil1
2020,pasteque,199.35,Feuil1
2020,tomate,28.55,Feuil1
2020,concombre,103.85,Feuil1
2020,piment,149.6,Feuil1
2020,courge,90.75,Feuil1
2020,divers,129.76,Feuil1
2019,oignon,76.0,Feuil1
2019,pomme_de_terre,240.17000000000002,Feuil1
2019,melon,42.4,Feuil1
2019,pasteque,81.45,Feuil1
2019,tomate,14.2,Feuil1
2019,concombre,81.35,Feuil1
2019,piment,106.23999999999998,Feuil1
2019,courge,55.419999999999995,Feuil1
2019,divers,96.76,Feuil1
2018,oignon,58.339999999999996,Feuil1
2018,pomme_de_terre,280.25,Feuil1
2018,melon,48.25,Feuil1
2018,pasteque,107.10000000000001,Feuil1
2018,tomate,10.16,Feuil1
2018,concombre,79.97,Feuil1
2018,piment,115.75,Feuil1
2018,courge,51.489999999999995,Feuil1
2018,divers,60.989999999999995,Feuil1
2017,oignon,65.0,Feuil1
2017,pomme_de_terre,322.24,Feuil1
2017,melon,73.42999999999999,Feuil1
2017,pasteque,159.18,Feuil1
2017,tomate,10.3,Feuil1
2017,concombre,83.95,Feuil1
2017,piment,140.7,Feuil1
2017,courge,72.50999999999999,Feuil1
2017,divers,52.95,Feuil1
2016,oignon,38.9,Feuil1
2016,pomme_de_terre,282.25,Feuil1
2016,melon,22.55,Feuil1
2016,pasteque,52.95,Feuil1
2016,tomate,3.0,Feuil1
2016,concombre,44.0,Feuil1
2016,piment,81.52,Feuil1
2016,courge,31.6,Feuil1
2016,divers,68.24,Feuil1
2015,oignon,82.96,Feuil1
2015,pomme_de_terre,340.44,Feuil1
2015,melon,156.25,Feuil1
2015,pasteque,176.65,Feuil1
2015,tomate,15.55,Feuil1
2015,concombre,119.41,Feuil1
2015,piment,153.7,Feuil1
2015,courge,81.3,Feuil1
2015,divers,54.5,Feuil1
2014,oignon,69.65,Feuil1
2014,pomme_de_terre,515.5,Feuil1
2014,melon,86.0,Feuil1
2014,pasteque,234.75,Feuil1
2014,tomate,7.75,Feuil1
2014,concombre,118.1,Feuil1
2014,piment,156.45000000000002,Feuil1
2014,courge,43.75,Feuil1
2014,divers,48.41,Feuil1
2013,oignon,40.05,Feuil1
2013,pomme_de_terre,469.65,Feuil1
2013,melon,20.9,Feuil1
2013,pasteque,63.0,Feuil1
2013,tomate,15.5,Feuil1
2013,concombre,89.7,Feuil1
2013,piment,122.5,Feuil1
2013,courge,34.4,Feuil1
2013,divers,63.300000000000004,Feuil1
