annee,ann_2008,ann_2009,ann_2010,ann_2011,ann_2012,ann_2013,ann_2014,ann_2015,ann_2016,ann_2017,ann_2018,ann_2019,ann_2020,ann_2021,ann_2022,ann_2023,ann_2024,ann_2025,feuille
janvier,8200,8500,8200,8000,8400,8000,8400,8500,9200,8800,7820,8400,8410,8680,7770,7770,7780,7650,Feuil1
fevrier,8100,7700,7900,8100,8700,8600,8900,8900,9900,8800,8450,8530,8930,8590,7830,7650,7650,8030,Feuil1
mars,9000,8100,8300,8700,9200,9100,9400,9400,9900,8900,9110,9010,9220,8760,8220,10190,10910,10200,Feuil1
avril,9200,9300,9000,9500,9300,9500,10100,10000,10000,10200,10430,9640,9990,12230,11240,10220,9890,9180,Feuil1
mai,9500,9500,9200,9200,9500,9600,9900,10200,10100,10500,11090,11150,10820,11860,9090,8860,9250,9170,Feuil1
juin,10900,11100,9400,9300,9500,9800,10400,10900,11200,12300,12510,11180,11090,10570,9140,12050,14170,15900,Feuil1
juillet,9700,9800,11000,11200,11100,11300,11800,11800,11300,11300,12720,11300,10920,20290,19360,8630,8230,8500,Feuil1
aout,10000,12200,13200,14200,13300,12200,11600,11600,10900,10500,21060,22520,22510,7910,6320,8640,9090,9130,Feuil1
septembre,13900,12000,11500,9300,9900,9700,9000,21500,20300,18900,7220,7190,7720,8670,7300,8040,8970,8640,Feuil1
octobre,9000,8800,9600,7800,18200,18600,20000,7700,6500,6100,6700,7120,8180,8780,7550,7950,8230,8280,Feuil1
novembre,9100,13300,17700,18100,7800,7600,7500,7600,8000,6800,7140,7380,8160,8740,7500,7980,8170,8120,Feuil1
decembre,17200,7000,7700,7600,6500,7200,7600,6900,8600,7400,8160,7980,8550,8930,7480,7580,8170,8030,Feuil1
