date,nom_ar,nom_fr,unite,valeur
2025-12-19 07:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.79
2025-12-19 07:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-19 07:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,959.1
2025-12-19 07:00:00,Point de Rosée,Point de Rosée,°C,11.9
2025-12-19 07:00:00,Humidité relative,Humidité relative,%,100.0
2025-12-19 07:00:00,Direction du vent,Direction du vent,Deg,26.7
2025-12-19 07:00:00,Température,Température,°C,11.9
2025-12-19 07:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-19 07:00:00,Vitesse du vent,Vitesse du vent,m/s,3.41
2025-12-19 06:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-19 06:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.79
2025-12-19 06:00:00,Direction du vent,Direction du vent,Deg,23.5
2025-12-19 06:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,959.4
2025-12-19 06:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-19 06:00:00,Température,Température,°C,11.8
2025-12-19 06:00:00,Humidité relative,Humidité relative,%,100.0
2025-12-19 06:00:00,Point de Rosée,Point de Rosée,°C,11.8
2025-12-19 06:00:00,Vitesse du vent,Vitesse du vent,m/s,2.32
2025-12-19 05:00:00,Température,Température,°C,12.0
2025-12-19 05:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,960.1
2025-12-19 05:00:00,Direction du vent,Direction du vent,Deg,83.2
2025-12-19 05:00:00,Vitesse du vent,Vitesse du vent,m/s,3.97
2025-12-19 05:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-19 05:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.79
2025-12-19 05:00:00,Humidité relative,Humidité relative,%,100.0
2025-12-19 05:00:00,Point de Rosée,Point de Rosée,°C,12.0
2025-12-19 05:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-19 04:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-19 04:00:00,Température,Température,°C,12.7
2025-12-19 04:00:00,Vitesse du vent,Vitesse du vent,m/s,3.1
2025-12-19 04:00:00,Humidité relative,Humidité relative,%,100.0
2025-12-19 04:00:00,Direction du vent,Direction du vent,Deg,84.5
2025-12-19 04:00:00,Point de Rosée,Point de Rosée,°C,12.7
2025-12-19 04:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,960.5
2025-12-19 04:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-19 04:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.79
2025-12-19 02:00:00,Humidité relative,Humidité relative,%,100.0
2025-12-19 02:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-19 02:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-19 02:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,960.8
2025-12-19 02:00:00,Température,Température,°C,13.1
2025-12-19 02:00:00,Direction du vent,Direction du vent,Deg,56.1
2025-12-19 02:00:00,Point de Rosée,Point de Rosée,°C,13.1
2025-12-19 02:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.79
2025-12-19 02:00:00,Vitesse du vent,Vitesse du vent,m/s,4.5
2025-12-19 00:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.61
2025-12-19 00:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-19 00:00:00,Vitesse du vent,Vitesse du vent,m/s,2.35
2025-12-19 00:00:00,Point de Rosée,Point de Rosée,°C,13.0
2025-12-19 00:00:00,Humidité relative,Humidité relative,%,99.0
2025-12-19 00:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-19 00:00:00,Température,Température,°C,13.1
2025-12-19 00:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,962.0
2025-12-19 00:00:00,Direction du vent,Direction du vent,Deg,58.3
