annee,nom_de_la_nappe,nombre_de_puits,ressources_mm3,exploitation_mm3,feuille
2020,Tunis,8,1.0,0.34,Feuil1
2020,Cotière,3,1.0,0.03,Feuil1
2020,Sokra,3,0.5,0.06,Feuil1
2020,Manouba,6,0.9,0.57,Feuil1
2020,Total,20,3.4,1.0,Feuil1
2021,Tunis,8,1.0,0.38,Feuil1
2021,Cotière,3,1.0,0.04,Feuil1
2021,Sokra,3,0.5,0.07,Feuil1
2021,Manouba,7,0.9,0.53,Feuil1
2021,Total,21,3.4,1.02,Feuil1
2022,Tunis,8,1.0,0.37,Feuil1
2022,Cotière,3,0.5,0.055,Feuil1
2022,Sokra,3,,0.068,Feuil1
2022,Manouba,7,0.9,0.495,Feuil1
2022,Total,21,2.4,0.988,Feuil1
2023,Tunis,8,1.0,0.188,Feuil1
2023,Cotière,4,0.5,0.1,Feuil1
2023,Sokra,3,,,Feuil1
2023,Manouba,7,0.9,0.422,Feuil1
2023,Total,22,2.4,0.71,Feuil1
2024,Tunis,7,1.0,0.279,Feuil1
2024,Cotière,3,0.5,0.112,Feuil1
2024,Sokra,4,,,Feuil1
2024,Manouba,6,0.9,0.459,Feuil1
2024,Total,20,2.4,0.8500000000000001,Feuil1
