annee,delegation_ar,ble_dur_qt,ble_tendre_qt,orge_triticale_qt,semences_fourrageres,fourrages,tomates_t,pommes_de_terre_t,autres_legumes_t,legumineuses_qt,olivier_a_huile_t,olives_table_t,autres_arbres_fruitiers_t,feuille
2023,الكاف الشرقية,4050,500,200,0,620,2555,308,2833.0,0,1021,84,1396,Feuil1
2023,الكاف الغربية,1000,0,0,0,480,2750,0,1639.0,0,618,68,590,Feuil1
2023,نبر,3495,240,7080,1240,4875,8250,0,13840.0,0,605,55,284,Feuil1
2023,الساقية,1350,996,1545,960,0,1650,0,3810.0,0,1093,57,417,Feuil1
2023,تاجروين,3000,0,3960,30,0,3775,144,8804.0,0,993,145,1535,Feuil1
2023,قلعة سنان,450,0,1320,0,400,620,770,1487.0,0,572,58,1032,Feuil1
2023,القلعة الخصباء,1700,0,750,0,520,770,0,50.0,0,136,33,80,Feuil1
2023,الجريصة,1300,0,2875,0,1550,0,0,0.0,0,538,18,274,Feuil1
2023,الدهماني,3090,0,6690,300,1760,1375,0,3184.0,0,288,46,654,Feuil1
2023,القصور,0,0,0,0,0,1155,0,910.0,0,1626,186,1554,Feuil1
2023,السرس,10375,250,15600,0,750,0,0,248.0,211,674,149,133,Feuil1
2023,الطويرف,1800,160,0,0,0,110,1978,0.0,0,586,51,36,Feuil1
2023,المجموع,31610,2146,40020,2530,10955,23010,3200,36805.0,211,8750,950,7985,Feuil1
2024,الكاف ش,97075,9650,59760,526,8586,3250,525,3034.0,476,986,83,1750,Feuil1
2024,الكاف غ,14000,1535,16960,98,1076,2600,0,1315.5,16,360,63,570,Feuil1
2024,الدهماني,4970,0,25970,170,3780,6600,0,14644.0,0,380,43,446,Feuil1
2024,تاجروين,10160,0,16435,84,3215,1625,0,3086.0,0,624,47,731,Feuil1
2024,السرس,11370,0,12110,29,586,3900,0,7988.0,0,802,144,1512,Feuil1
2024,القصور,2720,0,8090,14,950,1550,410,3185.0,0,306,53,2621,Feuil1
2024,الجريصة,7840,10,3548,35,400,65,0,50.0,0,96,27,198,Feuil1
2024,قلعة سنان,3400,0,7884,75,2100,650,0,250.0,0,392,14,468,Feuil1
2024,القلعةخصبة,5468,0,8152,40,1225,2990,210,2767.0,0,179,40,754,Feuil1
2024,نبـر,76552,2996,76387,4348,19801,1820,63,2282.0,522,1169,176,1309,Feuil1
2024,الساقية,43800,6860,27600,60,0,130,0,311.5,0,512,157,94,Feuil1
2024,الطويرف,17800,3630,8700,0,0,0,0,25.0,0,457,47,61,Feuil1
2024,المجموع,295155,24681,271596,5479,41719,25180,1208,38938.0,1014,6263,894,10514,Feuil1
