campagne_agricole,delegation_fr,nombre_de_pieds_damandiers,production_amandes_en_irrigue_tonne,nombre_de_pieds_de_pruniers,production_de_prunes_en_irrigue_tonne,nombre_de_pieds_de_peches,production_de_peches_en_irrigue_tonne,nombre_de_pieds_dabricotiers_de_saison,production_dabricots_de_saison_en_irrigue_tonne,nombre_de_pieds_dabricotiers_de_primeur,production_dabricots_de_primeur_en_irrigue_tonne,feuille
2023/2024,Tozeur,0,,2400,36.0,4750,95.0,3300,39.6,11500,172.5,Feuil1
2023/2024,Degache,0,,2050,41.0,3300,66.0,2075,24.9,6300,94.5,Feuil1
2023/2024,Nefta,0,,2050,36.9,3100,62.0,2175,26.1,6500,97.5,Feuil1
2023/2024,Hezoua,0,,100,1.2,200,2.4,0,,200,2.0,Feuil1
2023/2024,Tamaghza,3300,49.5,1650,33.0,2550,51.0,2150,32.25,7000,105.0,Feuil1
2023/2024,Hammet eljerid,0,,250,3.0,100,1.2,200,2.0,500,5.0,Feuil1
2023/2024,Total,3300,49.5,8500,151.10000000000002,14000,277.59999999999997,9900,124.85,32000,476.5,Feuil1
