annee,delegation_fr,delegation_ar,nombre_dassociations_dinterets_collectifs_eau,feuille
2022,Tozeur,تــوزر,22,Feuil2
2022,Dgueche,دقــاش,16,Feuil2
2022,Tamaghza,تمغـزة,8,Feuil2
2022,Nefta,نفطــة,10,Feuil2
2022,Hazoua,حـزوة,20,Feuil2
2022,Hammet El Djérid,حامة الجريد,9,Feuil2
2022,Total,المجموع,85,Feuil2
2023,Tozeur,تــوزر,22,Feuil2
2023,Dgueche,دقــاش,16,Feuil2
2023,Tamaghza,تمغـزة,8,Feuil2
2023,Nefta,نفطــة,11,Feuil2
2023,Hazoua,حـزوة,19,Feuil2
2023,Hammet El Djérid,حامة الجريد,9,Feuil2
2023,Total,المجموع,85,Feuil2
2024,Tozeur,تــوزر,22,Feuil2
2024,Dgueche,دقــاش,16,Feuil2
2024,Tamaghza,تمغـزة,9,Feuil2
2024,Nefta,نفطــة,13,Feuil2
2024,Hazoua,حـزوة,19,Feuil2
2024,Hammet El Djérid,حامة الجريد,9,Feuil2
2024,Total,المجموع,88,Feuil2
