smvda,localisation,date_de_creation,superficie,feuille
الشويقي,طبربة,1991.0,642,Feuil1
بساتين برج التومي,البطان,1993.0,622,Feuil1
حدائق مجردة,البطان,1993.0,298,Feuil1
الحفصية,المرناقية,1993.0,514,Feuil1
البركة,البطان,1995.0,642,Feuil1
كنزة,طبربة,1995.0,568,Feuil1
السلامة,المرناقية,1995.0,655,Feuil1
بئر الطويل,برج العامري,1995.0,527,Feuil1
زينة,وادي الليل,1995.0,160,Feuil1
الدريجات,برج العامري,2000.0,412,Feuil1
ضيعة بجاوة,وادي الليل,2004.0,220,Feuil1
فيترو بلان تونيزيا,المهرين,2005.0,58,Feuil1
شركة إيـــو,البطان,2005.0,686,Feuil1
برج النور 1,برج العامري,2005.0,712,Feuil1
برج النور 2,برج العامري,2005.0,717,Feuil1
السعـــادة,طبربة,2006.0,251,Feuil1
الهـــناء,طبربة,2008.0,142,Feuil1
سنابل اتقان,طبربة,2015.0,173,Feuil1
شواط,الجديدة,,551,Feuil1
سيدي علي الحطاب,المرناقية,,832,Feuil1
المهرين,البطان,,169,Feuil1
مورانا,منوبة,,140,Feuil1
الملاحة,طبربة,,348,Feuil1
برج التوتة 2,طبربة,,259,Feuil1
