annee,gouvernorat,productionen1000quintaux,feuille
1985.0,Beja,65.0,Feuil2
1986.0,Beja,60.0,Feuil2
1987.0,Beja,136.5,Feuil2
1988.0,Beja,37.8,Feuil2
1989.0,Beja,44.4,Feuil2
1990.0,Beja,75.0,Feuil2
1991.0,Beja,163.0,Feuil2
1992.0,Beja,141.0,Feuil2
1993.0,Beja,50.0,Feuil2
1994.0,Beja,16.0,Feuil2
1995.0,Beja,36.7,Feuil2
1996.0,Beja,38.4,Feuil2
1997.0,Beja,24.45,Feuil2
1998.0,Beja,6.07,Feuil2
1999.0,Beja,10.35,Feuil2
2000.0,Beja,4.5,Feuil2
2001.0,Beja,4.0,Feuil2
2003.0,Beja,6.75,Feuil2
2004.0,Beja,6.6,Feuil2
2005.0,Beja,6.0,Feuil2
2006.0,Beja,5.0,Feuil2
2007.0,Beja,21.42,Feuil2
2008.0,Beja,29.16,Feuil2
2009.0,Beja,55.86,Feuil2
2010.0,Beja,47.0,Feuil2
2011.0,Beja,53.58,Feuil2
2012.0,Beja,28.35,Feuil2
2013.0,Beja,56.35,Feuil2
2014.0,Beja,59.84,Feuil2
2015.0,Beja,54.59,Feuil2
2016.0,Beja,62.52,Feuil2
2017.0,Beja,68.5,Feuil2
2018.0,Beja,47.3,Feuil2
2019.0,Beja,75.0,Feuil2
1987.0,Jendouba,20.0,Feuil2
1988.0,Jendouba,5.0,Feuil2
1989.0,Jendouba,9.0,Feuil2
1990.0,Jendouba,1.5,Feuil2
1991.0,Jendouba,9.0,Feuil2
1992.0,Jendouba,10.0,Feuil2
1993.0,Jendouba,10.0,Feuil2
1994.0,Jendouba,3.0,Feuil2
1995.0,Jendouba,4.2,Feuil2
1996.0,Jendouba,11.3,Feuil2
1997.0,Jendouba,7.83,Feuil2
1998.0,Jendouba,3.25,Feuil2
1999.0,Jendouba,2.62,Feuil2
2001.0,Jendouba,3.4,Feuil2
2002.0,Jendouba,1.0,Feuil2
2003.0,Jendouba,2.4,Feuil2
2006.0,Jendouba,0.9,Feuil2
2007.0,Jendouba,1.25,Feuil2
2008.0,Jendouba,1.5,Feuil2
2009.0,Jendouba,15.0,Feuil2
2010.0,Jendouba,2.0,Feuil2
2011.0,Jendouba,12.35,Feuil2
2012.0,Jendouba,10.5,Feuil2
2013.0,Jendouba,4.55,Feuil2
2014.0,Jendouba,3.43,Feuil2
2015.0,Jendouba,5.06,Feuil2
2016.0,Jendouba,5.29,Feuil2
2017.0,Jendouba,5.85,Feuil2
2018.0,Jendouba,6.9,Feuil2
2019.0,Jendouba,5.035,Feuil2
1987.0,Kef,8.0,Feuil2
1990.0,Kef,1.0,Feuil2
1991.0,Kef,17.0,Feuil2
1992.0,Kef,8.0,Feuil2
1999.0,Kef,3.3,Feuil2
2003.0,Kef,1.75,Feuil2
2006.0,Kef,0.5,Feuil2
2007.0,Kef,4.2,Feuil2
2009.0,Kef,3.3,Feuil2
2011.0,Kef,3.0,Feuil2
2012.0,Kef,2.7,Feuil2
2013.0,Kef,1.61,Feuil2
2014.0,Kef,2.97,Feuil2
2015.0,Kef,16.04,Feuil2
2016.0,Kef,10.425,Feuil2
2017.0,Kef,0.0,Feuil2
2018.0,Kef,4.1,Feuil2
2019.0,Kef,22.45,Feuil2
1987.0,Siliana,25.6,Feuil2
1988.0,Siliana,2.2,Feuil2
1989.0,Siliana,3.0,Feuil2
1990.0,Siliana,15.6,Feuil2
1991.0,Siliana,22.0,Feuil2
1992.0,Siliana,49.0,Feuil2
1993.0,Siliana,30.0,Feuil2
1996.0,Siliana,21.3,Feuil2
1997.0,Siliana,4.7,Feuil2
1998.0,Siliana,15.24,Feuil2
1999.0,Siliana,1.0,Feuil2
2000.0,Siliana,0.6,Feuil2
2006.0,Siliana,1.8,Feuil2
2007.0,Siliana,3.6,Feuil2
2008.0,Siliana,1.1,Feuil2
2009.0,Siliana,15.2,Feuil2
2010.0,Siliana,5.0,Feuil2
2011.0,Siliana,20.0,Feuil2
2012.0,Siliana,10.0,Feuil2
2013.0,Siliana,7.5,Feuil2
2014.0,Siliana,14.0,Feuil2
2016.0,Siliana,9.46,Feuil2
2019.0,Siliana,6.0,Feuil2
1987.0,Zaghouan,15.9,Feuil2
1988.0,Zaghouan,0.3,Feuil2
1990.0,Zaghouan,10.0,Feuil2
1991.0,Zaghouan,8.0,Feuil2
1992.0,Zaghouan,10.0,Feuil2
1993.0,Zaghouan,1.0,Feuil2
1996.0,Zaghouan,6.6,Feuil2
1999.0,Zaghouan,9.0,Feuil2
2000.0,Zaghouan,1.5,Feuil2
2001.0,Zaghouan,2.25,Feuil2
2003.0,Zaghouan,4.4,Feuil2
2006.0,Zaghouan,3.15,Feuil2
2007.0,Zaghouan,7.35,Feuil2
2008.0,Zaghouan,8.7,Feuil2
2009.0,Zaghouan,15.2,Feuil2
2010.0,Zaghouan,15.2,Feuil2
2011.0,Zaghouan,14.88,Feuil2
2014.0,Zaghouan,8.25,Feuil2
2015.0,Zaghouan,5.12,Feuil2
2016.0,Zaghouan,0.53,Feuil2
2017.0,Zaghouan,0.0,Feuil2
2018.0,Zaghouan,3.6,Feuil2
2019.0,Zaghouan,10.52,Feuil2
2015.0,Gafsa,0.5,Feuil2
2016.0,Gafsa,0.75,Feuil2
,Production National,,Feuil2
1985.0,125,,Feuil2
1986.0,130,,Feuil2
1987.0,325.4,,Feuil2
1988.0,69.69999999999999,,Feuil2
1989.0,154.6,,Feuil2
1990.0,336.6,,Feuil2
1991.0,441,,Feuil2
1992.0,410,,Feuil2
1993.0,235,,Feuil2
1994.0,67,,Feuil2
1995.0,86.9,,Feuil2
1996.0,149.2,,Feuil2
1997.0,85.88,,Feuil2
1998.0,85.68999999999998,,Feuil2
1999.0,73.55,,Feuil2
2000.0,34.81,,Feuil2
2001.0,29.75,,Feuil2
2002.0,9.52,,Feuil2
2003.0,64.8,,Feuil2
2004.0,76.38,,Feuil2
2005.0,50,,Feuil2
2006.0,55.669999999999995,,Feuil2
2007.0,105.09,,Feuil2
2008.0,151.92999999999998,,Feuil2
2009.0,249.70999999999998,,Feuil2
2010.0,208.04999999999998,,Feuil2
2011.0,240.6,,Feuil2
2012.0,261.03,,Feuil2
2013.0,307.32000000000005,,Feuil2
2014.0,315.86000000000007,,Feuil2
2015.0,310.98,,Feuil2
2016.0,335.87499999999994,,Feuil2
